set putPlayerInSlot [1,*,*]
:                   1   2   3   4   5   6   7   8   9  10  11  12  13  14  15 :=
GASTALDELLO         0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
GEMELLO             0   0   0   0   0   0   1   0   0   0   0   0   0   0   0
GERVINHO            0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
GHIGLIONE           0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
GHOULAM             0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
GILLI               0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
GODIN               0   0   0   0   0   0   0   0   0   1   0   0   0   0   0
GOLDANIGA           0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
GOLLINI             0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
GOMEZA              0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
GONALONS            0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
GOSENS              0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
GRASSI              0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
GRAVILLON           0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
GUERRIERI           0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
GUMUS               1   0   0   0   0   0   0   0   0   0   0   0   0   0   0
GUNTER              0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
GUSTAFSON           0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
HAN                 0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
HANDANOVIC          0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
HATEBOER            0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
HAYE                0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
HENDERSONL          0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
HERNANDEZT          0   0   0   0   0   0   0   0   0   1   0   0   0   0   0
HERNANI             0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
HIGUAIN             0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
HILJEMARK           0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
HYSAJ               0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
IACOPONI            0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
IAGOFALQUE          0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
IBANEZ              0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
ICARDI              0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
IGOR                0   0   0   0   0   0   0   0   0   1   0   0   0   0   0
ILICIC              0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
IMMOBILE            0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
INGELSSON           0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
INGLESE             0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
INSIGNE             0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
IONITA              0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
IZZO                0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
JAGIELLO            0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
JAJALO              0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
JANDREI             0   0   0   0   0   0   1   0   0   0   0   0   0   0   0
JANKOVIC            0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
JANKTO              0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
JOAOPEDRO           0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
JONY                0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
JORGESILVA          0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
JORONEN             0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
JUANJESUS           0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
JUWARA              0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
KARAMOH             0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
KARNEZIS            0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
KESSIE              0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
KHEDIRA             0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
KINGSLEY            0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
KLAVAN              0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
KLUIVERT            0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
KOLAROV             0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
KOUAME              0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
KOULIBALY           0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
KREJCI              0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
KRUNIC              0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
KUCKA               0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
KULUSEVSKI          0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
KUMBULLA            0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
KURTIC              0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
LAMANTIA            0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
LAPADULA            0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
LASAGNA             0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
LAURINI             0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
LAXALT              0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
LAZARO              0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
LAZOVIC             0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
LAZZARIM            0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
LEE                 0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
LERAGER             0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
LERIS               0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
LETICA              0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
LINETTY             0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
LIROLA              0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
LOCATELLIM          0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
LOFASO              0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
LOZANO              0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
LUCASFELIPPE        0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
LUCASLEIVA          0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
LUCIONI             0   0   0   0   0   0   0   0   0   1   0   0   0   0   0
LUISALBERTO         0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
LUIZFELIPE          0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
LUKAKUJ             0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
LUKAKUR             0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
LUKIC               0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
LULIC               0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
LUPERTO             0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
LYANCO              0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
LYKOGIANNIS         0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
MACHIN              0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
