"Name","VarianceFantasyEvaluation","PlayedMatches","MeanFantasyEvaluation","Team","Role","MedianFantasyEvaluation","WeightedFantasyEvaluation","Qt..A","Qt..I","Plays2018_2019","Owner","Price"
"VICARI","0.513368984","34","5.8235294118","SPAL","D","5.75","5.2105263158","6","4","1","",""
"FLORENZI","1.5393145161","32","6.15625","Roma","D","6","5.1842105263","14","14","1","",""
"TOLOI","0.6064516129","31","6.3387096774","Atalanta","D","6.5","5.1710526316","10","10","1","",""
"BERTOLACCI","0.8925189394","33","5.9242424242","Genoa","C","6","5.1447368421","7","8","1","",""
"RODRIGUEZ R","1.1553030303","34","5.75","Milan","D","6","5.1447368421","8","8","1","",""
"POLI","1.2651209677","32","6.09375","Bologna","C","6","5.1315789474","8","8","1","",""
"PULGAR","2.5393145161","32","6.09375","Bologna","C","6","5.1315789474","9","10","1","",""
"SCHIATTARELLA","0.7811827957","31","6.2580645161","SPAL","C","6","5.1052631579","5","4","1","",""
"BABACAR","3.4532019704","29","6.6034482759","Sassuolo","A","6","5.0394736842","15","14","1","",""
"SPORTIELLO","2.7173423423","37","5.1351351351","Fiorentina","P","5","5","6","6","1","ME",""
"CIANO","NA","37","NA","NA","A","NA","4.990920404436467","10","10","1","",""
"FAVILLI","NA","37","NA","NA","A","NA","4.990920404436467","10","10","1","",""
"GERVINHO","NA","37","NA","NA","A","NA","4.990920404436467","11","10","1","",""
"LAFONT","NA","37","NA","NA","P","NA","4.990920404436467","10","10","1","VE","7"
"MARCHETTI","NA","37","NA","NA","P","NA","4.990920404436467","9","10","1","",""
"SANTANDER","NA","37","NA","NA","A","NA","4.990920404436467","10","10","1","",""
"DONNARUMMA G","1.5741465149","38","4.9868421053","Milan","P","5","4.9868421053","11","12","1","",""
"KHEDIRA","9.5834615385","26","7.2884615385","Juventus","C","6","4.9868421053","19","18","1","",""
"SORRENTINO","4.039829303","38","4.9736842105","Chievo","P","5.5","4.9736842105","9","9","1","",""
"FALCINELLI","1.318296371","32","5.890625","Fiorentina","A","5.5","4.9605263158","15","16","1","",""
"LUKAKU J","0.9781609195","30","6.2666666667","Lazio","D","6","4.9473684211","4","5","1","",""
"DANILO","0.7134576613","32","5.859375","Udinese","D","6","4.9342105263","9","8","1","",""
"PETAGNA","2.6416256158","29","6.4655172414","Atalanta","A","6","4.9342105263","14","15","1","",""
"LINETTY","1.8275862069","29","6.4482758621","Sampdoria","C","6","4.9210526316","7","6","1","",""
"MIRANDA","0.2655913978","31","6.0322580645","Inter","D","6","4.9210526316","6","7","1","",""
"ZUKANOVIC","0.4166666667","31","6","Genoa","D","6","4.8947368421","5","5","1","",""
"PALACIO","2.3399470899","28","6.6071428571","Bologna","A","6","4.8684210526","8","8","1","",""
"MAGNANELLI","0.3545866935","32","5.765625","Sassuolo","C","6","4.8552631579","5","5","1","",""
"VECINO","1.9002463054","29","6.3103448276","Inter","C","6","4.8157894737","9","10","1","",""
"VIVIANI","1.3645320197","29","6.3103448276","SPAL","C","6","4.8157894737","8","9","1","",""
"RADU","0.3951612903","31","5.8870967742","Lazio","D","6","4.8026315789","8","8","1","",""
"PELUSO","1.0698924731","31","5.8548387097","Sassuolo","D","6","4.7763157895","3","4","1","",""
"KURTIC","1.791954023","30","6.0333333333","SPAL","C","5.5","4.7631578947","10","9","1","",""
"UNDER","5.6384615385","26","6.9615384615","Roma","A","6","4.7631578947","20","21","1","",""
"GRASSI","1.6058201058","28","6.4285714286","SPAL","C","6","4.7368421053","9","9","1","",""
"AUDERO","NA","30","NA","NA","P","NA","4.723183966271226","10","9","1","",""
"BRADARIC","NA","30","NA","NA","C","NA","4.723183966271226","9","9","1","",""
"CRISCITO","NA","30","NA","NA","D","NA","4.723183966271226","9","9","1","",""
"KRUNIC","NA","30","NA","NA","C","NA","4.723183966271226","10","9","1","",""
"VIZEU","NA","30","NA","NA","A","NA","4.723183966271226","8","9","1","",""
"BERESZYNSKI","0.3139784946","31","5.7741935484","Sampdoria","D","5.5","4.7105263158","7","7","1","",""
"BERARDI","2.8978494624","31","5.7580645161","Sassuolo","A","5.5","4.6973684211","18","16","1","",""
"LAPADULA","2.7337962963","28","6.375","Genoa","A","5.5","4.6973684211","11","12","1","",""
"SAMIR","1.1978494624","31","5.7580645161","Udinese","D","5.5","4.6973684211","7","6","1","",""
"STRYGER LARSEN","0.466954023","30","5.9166666667","Udinese","D","6","4.6710526316","6","6","1","",""
"BORINI","1.4174876847","29","6.1034482759","Milan","C","6","4.6578947368","6","6","1","",""
"FELIPE","1.2876436782","30","5.8833333333","SPAL","D","6","4.6447368421","6","6","1","",""
"FERRARI G","1.7704022989","30","5.8833333333","Sampdoria","D","5.75","4.6447368421","10","8","1","",""
"CONSIGLI","4.6336336336","37","4.7567567568","Sassuolo","P","5","4.6315789474","9","9","1","BRYAN","6"
"DONSAH","1.4523809524","28","6.2857142857","Bologna","C","6","4.6315789474","7","8","1","",""
"ROMAGNOLI A","1.2685185185","28","6.25","Milan","D","6","4.6052631579","10","10","1","",""
"BESSA","2.6570767196","28","6.2321428571","Genoa","C","6","4.5921052632","6","7","1","",""
"ALEX SANDRO","2.5815384615","26","6.6923076923","Juventus","D","6","4.5789473684","17","17","1","GATTI","28"
"GAGLIARDINI","0.2540229885","30","5.7666666667","Inter","C","6","4.5526315789","6","7","1","",""
"DESTRO","5.0338461538","26","6.5769230769","Bologna","A","6","4.5","12","13","1","",""
"SAU","1.8103448276","29","5.8965517241","Cagliari","A","6","4.5","8","9","1","",""
"HELANDER","0.3552955665","29","5.8620689655","Bologna","D","6","4.4736842105","7","7","1","",""
"ROG","0.4761904762","28","6.0714285714","Napoli","C","6","4.4736842105","5","6","1","",""
"CEPPITELLI","1.9294871795","27","6.2777777778","Cagliari","D","6","4.4605263158","7","8","1","",""
"BIGLIA","1.0459656085","28","5.9821428571","Milan","C","6","4.4078947368","8","8","1","",""
"BOGA","NA","31","NA","NA","C","NA","4.4001562034350155","8","8","1","",""
"DJOUROU","NA","31","NA","NA","D","NA","4.4001562034350155","7","8","1","",""
"EKDAL","NA","31","NA","NA","C","NA","4.4001562034350155","8","8","1","",""
"MARLON","NA","31","NA","NA","D","NA","4.4001562034350155","7","8","1","",""
"MUSSO","NA","31","NA","NA","P","NA","4.4001562034350155","7","8","1","",""
"ZAJC","NA","31","NA","NA","C","NA","4.4001562034350155","9","8","1","",""
