,"Unnamed: 0","Id_x","R_x","Nome","Squadra_x","Pg","Mv","Mf","WeightedPerf","Name","Id_y","R_y","Squadra_y","Qt. Amantra","Qt. Imantra","Diff.","ComputedPrices"
213,213,2141,"C","DEPAOLI","Chievo",32,5.75,5.66,4.76631578947368,"DEPAOLI",2141,"Dd;E","Sampdoria",6,6,0,17.0987975790358
17,17,123,"A","INGLESE","Parma",25,6.14,7.24,4.76315789473684,"INGLESE",123,"Pc","Parma",23,23,0,17.0688401168251
143,143,644,"C","PULGAR","Bologna",28,5.96,6.46,4.76,"PULGAR",644,"M;C","Fiorentina",15,13,2,17.0388826546144
47,47,253,"D","D'AMBROSIO","Inter",29,5.95,6.19,4.72394736842105,"DAMBROSIO",253,"Dd;Ds;Dc","Inter",12,12,0,16.6968682943751
253,253,2318,"D","ROGERIO","Sassuolo",32,5.64,5.59,4.70736842105263,"ROGERIO",2318,"Ds;E","Sassuolo",7,7,0,16.5395916177687
302,302,2825,"C","BOURABIA","Sassuolo",31,5.82,5.77,4.70710526315789,"BOURABIA",2825,"C","Sassuolo",5,5,0,16.5370951625844
180,180,1934,"P","STRAKOSHA","Lazio",35,6.17,5.09,4.68815789473684,"STRAKOSHA",1934,"Por","Lazio",14,13,1,16.35735038932
354,354,,,,,,,,4.67509276429782,"JOAOPEDRO",1874,"A","Cagliari",16,16,0,16.2334076413749
63,63,309,"A","DYBALA","Juventus",27,5.94,6.56,4.66105263157895,"DYBALA",309,"A","Juventus",25,25,0,16.1002155053445
220,220,2168,"D","MUSACCHIO","Milan",29,6.02,6.09,4.64763157894737,"MUSACCHIO",2168,"Dc","Milan",7,7,0,15.9728962909489
111,111,509,"P","CONSIGLI","Sassuolo",36,6.25,4.89,4.63263157894737,"CONSIGLI",509,"Por","Sassuolo",10,10,0,15.8305983454479
19,19,133,"P","SKORUPSKI","Bologna",38,6.11,4.62,4.62,"SKORUPSKI",133,"Por","Bologna",9,9,0,15.7107684966049
186,186,1978,"C","SENSI","Sassuolo",28,6.05,6.27,4.62,"SENSI",1978,"C","Inter",14,13,1,15.7107684966049
32,32,183,"A","BABACAR","Sassuolo",26,5.87,6.75,4.61842105263158,"BABACAR",183,"Pc","Sassuolo",14,14,0,15.6957897654995
232,232,2197,"D","CASTAGNE","Atalanta",27,6.04,6.5,4.61842105263158,"CASTAGNE",2197,"E","Atalanta",13,13,0,15.6957897654995
278,278,2766,"C","ZANIOLO","Roma",27,6.13,6.5,4.61842105263158,"ZANIOLO",2766,"T","Roma",16,16,0,15.6957897654995
218,218,2166,"C","BENTANCUR","Juventus",29,5.91,6.03,4.60184210526316,"BENTANCUR",2166,"C","Juventus",7,7,0,15.5385130888931
315,315,2865,"D","AINA","Torino",29,5.91,6.02,4.59421052631579,"AINA",2865,"E","Torino",8,8,0,15.4661158885505
240,240,2261,"D","VICARI","SPAL",28,5.95,6.09,4.48736842105263,"VICARI",2261,"Dc","SPAL",7,7,0,14.4525550837537
226,226,2181,"D","PALOMINO","Atalanta",28,6.05,6.07,4.47263157894737,"PALOMINO",2181,"Dc","Atalanta",9,9,0,14.312753593437
355,355,,,,,,,,4.45995005700688,"DONNARUMMAG",350,"Por","Milan",15,15,0,14.1924499589064
356,356,,,,,,,,4.45995005700688,"CAN",2504,"M;C","Juventus",15,15,0,14.1924499589064
151,151,761,"P","AUDERO","Sampdoria",36,6.04,4.65,4.40526315789474,"AUDERO",761,"Por","Sampdoria",11,11,0,13.6736610662745
154,154,780,"D","CIONEK","SPAL",30,5.77,5.58,4.40526315789474,"CIONEK",780,"Dc","SPAL",7,7,0,13.6736610662745
149,149,708,"D","FELIPE","SPAL",28,5.84,5.96,4.39157894736842,"FELIPE",708,"Dc","SPAL",6,6,0,13.5438453966946
135,135,621,"C","ROMULO","Lazio",27,6.04,6.17,4.38394736842105,"ROMULO",621,"E;M","Genoa",9,9,0,13.471448196352
140,140,637,"A","SILIGARDI","Parma",27,6,6.15,4.36973684210526,"SILIGARDI",637,"W","Parma",8,8,0,13.3366396164036
247,247,2287,"C","RAMIREZ","Sampdoria",26,5.92,6.38,4.36526315789474,"RAMIREZ",2287,"T","Sampdoria",9,9,0,13.2941998782718
245,245,2284,"A","CAICEDO","Lazio",23,6.15,7.2,4.35789473684211,"CAICEDO",2284,"Pc","Lazio",12,12,0,13.2242991331134
229,229,2192,"D","BONIFAZI","SPAL",27,5.94,6.13,4.35552631578947,"BONIFAZI",2192,"Dc","Torino",9,8,1,13.2018310364553
26,26,159,"P","SEPE","Parma",37,6.09,4.43,4.31342105263158,"SEPE",159,"Por","Parma",8,8,0,12.8023982069788
31,31,181,"C","VECINO","Inter",27,5.85,6.07,4.31289473684211,"VECINO",181,"M;C","Inter",9,9,0,12.7974052966104
99,99,459,"D","MANOLAS","Roma",27,6.06,6.06,4.30578947368421,"MANOLAS",459,"Dc","Napoli",13,13,0,12.7300010066361
246,246,2285,"D","BANI","Chievo",30,5.65,5.43,4.28684210526316,"BANI",2285,"Dc","Bologna",4,4,0,12.5502562333717
