"","Name","VarianceFantasyEvaluation","PlayedMatches","Team","Role","MedianFantasyEvaluation","WeightedFantasyEvaluation","Qt..A","Qt..I","Plays2018_2019","Owner","Price","MantraRole","MeanFantasyEvaluation"
"108","CALABRIA",1.7654761905,21,"Milan","D",6,3.4605263158,7,6,NA,"ME",9,"Dd",6.32
"109","CALDARA",2.9125905797,24,"Atalanta","D",6,4.0394736842,11,12,NA,"",NA,"Dc",6.39583333333333
"110","CALHANOGLU",3.7198924731,31,"Milan","C",6.5,5.5921052632,20,21,NA,"",NA,"T",6.73529411764706
"111","CALHANOGLU",3.7198924731,31,"Milan","C",6.5,5.5921052632,20,21,NA,"",NA,"A",6.73529411764706
"112","CALLEJON",4.3842460882,38,"Napoli","A",6.5,7.1184210526,21,21,NA,"ME",15,"W",7.08333333333333
"113","CALLEJON",4.3842460882,38,"Napoli","A",6.5,7.1184210526,21,21,NA,"ME",15,"A",7.08333333333333
"114","CAMPBELL",NA,35,NA,"A",NA,5.4248756564,11,12,NA,"",NA,"A",5.5
"115","CAN ",NA,33,NA,"C",NA,6.4452883495,18,19,NA,"",NA,"M",6.2
"116","CAN ",NA,33,NA,"C",NA,6.4452883495,18,19,NA,"",NA,"C",6.2
"117","CANCELO",0.9153846154,26,"Inter","D",6,4.3421052632,14,14,NA,"VE",16,"Dd",6.33333333333333
"118","CANCELO",0.9153846154,26,"Inter","D",6,4.3421052632,14,14,NA,"VE",16,"E",6.33333333333333
"119","CANDREVA",0.835515873,36,"Inter","C",6,5.9342105263,13,13,NA,"",NA,"W",6.35897435897436
"120","CAPEZZI",0.0666666667,6,"Sampdoria","C",6,0.9736842105,4,4,NA,"",NA,"C",6
"121","CAPEZZI",0.0666666667,6,"Sampdoria","C",6,0.9736842105,4,4,NA,"",NA,"M",6
"122","CAPRARI",2.4830659537,34,"Sampdoria","A",6,5.6578947368,9,10,NA,"",NA,"T",6.42857142857143
"123","CAPRARI",2.4830659537,34,"Sampdoria","A",6,5.6578947368,9,10,NA,"",NA,"A",6.42857142857143
"124","CAPUANO",0.44,25,"Crotone","D",6,3.7763157895,4,5,NA,"",NA,"Dc",5.7037037037037
"125","CAPUANO",0.44,25,"Crotone","D",6,3.7763157895,4,5,NA,"",NA,"Ds",5.7037037037037
"126","CAPUTO",NA,36,NA,"A",NA,5.7742571478,14,14,NA,"",NA,"Pc",7.2
"127","CASSATA",2.2805555556,10,"Sassuolo","C",6,1.6184210526,2,2,NA,"",NA,"C",6.125
"128","CASTAGNE",0.4861842105,20,"Atalanta","D",6,3.1710526316,7,6,NA,"",NA,"E",6.10416666666667
"129","CASTAGNE",0.4861842105,20,"Atalanta","D",6,3.1710526316,7,6,NA,"",NA,"Dd",6.10416666666667
