,"Unnamed: 0","Id_x","R_x","Nome","Squadra_x","Pg","Mv","Mf","WeightedPerf","Name","Id_y","R_y","Squadra_y","Qt. Amantra","Qt. Imantra","Diff.","ComputedPrices"
355,355,,,,,,,,4.45995005700688,"DONNARUMMAG",350,"Por","Milan",15,15,0,24.0172196361396
356,356,,,,,,,,4.45995005700688,"CAN",2504,"M;C","Juventus",15,15,0,12.3257159445114
151,151,761,"P","AUDERO","Sampdoria",36,6.04,4.65,4.40526315789474,"AUDERO",761,"Por","Sampdoria",11,11,0,23.5201854499468
154,154,780,"D","CIONEK","SPAL",30,5.77,5.58,4.40526315789474,"CIONEK",780,"Dc","SPAL",7,7,0,14.2840108107624
149,149,708,"D","FELIPE","SPAL",28,5.84,5.96,4.39157894736842,"FELIPE",708,"Dc","SPAL",6,6,0,14.1596387846818
135,135,621,"C","ROMULO","Lazio",27,6.04,6.17,4.38394736842105,"ROMULO",621,"E;M","Genoa",9,9,0,16.3246817847672
140,140,637,"A","SILIGARDI","Parma",27,6,6.15,4.36973684210526,"SILIGARDI",637,"W","Parma",8,8,0,7.63374057830073
247,247,2287,"C","RAMIREZ","Sampdoria",26,5.92,6.38,4.36526315789474,"RAMIREZ",2287,"T","Sampdoria",9,9,0,11.6710666950371
245,245,2284,"A","CAICEDO","Lazio",23,6.15,7.2,4.35789473684211,"CAICEDO",2284,"Pc","Lazio",12,12,0,3.80183784644077
229,229,2192,"D","BONIFAZI","SPAL",27,5.94,6.13,4.35552631578947,"BONIFAZI",2192,"Dc","Torino",9,8,1,13.8319663313541
26,26,159,"P","SEPE","Parma",37,6.09,4.43,4.31342105263158,"SEPE",159,"Por","Parma",8,8,0,22.6854578133676
31,31,181,"C","VECINO","Inter",27,5.85,6.07,4.31289473684211,"VECINO",181,"M;C","Inter",9,9,0,10.9891705822748
99,99,459,"D","MANOLAS","Roma",27,6.06,6.06,4.30578947368421,"MANOLAS",459,"Dc","Napoli",13,13,0,13.379921851946
246,246,2285,"D","BANI","Chievo",30,5.65,5.43,4.28684210526316,"BANI",2285,"Dc","Bologna",4,4,0,13.2077144312191
148,148,706,"D","ANSALDI","Torino",24,6.38,6.77,4.27578947368421,"ANSALDI",706,"E","Torino",15,15,0,4.92503444111618
95,95,418,"D","GOLDANIGA","Frosinone",29,5.57,5.6,4.27368421052632,"GOLDANIGA",418,"Dc","Sassuolo",4,4,0,13.0881259446032
200,200,2038,"A","PINAMONTI","Frosinone",25,5.8,6.48,4.26315789473684,"PINAMONTI",2038,"Pc","Genoa",20,19,1,2.9408007428061
357,357,,,,,,,,4.24480734971594,"DOUGLASCOSTA",2200,"W","Juventus",14,14,0,6.49829077973215
358,358,,,,,,,,4.24480734971594,"ALEXSANDRO",662,"Ds;E","Juventus",14,14,0,15.2750071791756
359,359,,,,,,,,4.24480734971594,"GODIN",2572,"Dc","Inter",14,14,0,12.8256720983308
360,360,,,,,,,,4.24480734971594,"DELIGT",4428,"Dc","Juventus",14,14,0,12.8256720983308
361,361,,,,,,,,4.24480734971594,"ROMAGNOLIA",460,"Dc","Milan",14,14,0,12.8256720983308
362,362,,,,,,,,4.24480734971594,"MANCINIG",2296,"Dc","Roma",14,14,0,12.8256720983308
363,363,,,,,,,,4.24480734971594,"RABIOT",2379,"C","Juventus",14,14,0,10.9654457061536
69,69,329,"D","RADU","Lazio",28,5.8,5.75,4.23684210526316,"RADU",329,"Ds;Dc","Lazio",8,7,1,15.1002757524827
14,14,111,"C","BIRSA","Cagliari",26,5.88,6.17,4.22157894736842,"BIRSA",111,"T","Cagliari",7,7,0,10.3651604211913
150,150,713,"C","DZEMAILI","Bologna",27,5.8,5.87,4.17078947368421,"DZEMAILI",713,"C;T","Bologna",8,8,0,8.44848963393564
116,116,526,"C","DUNCAN","Sassuolo",24,6.1,6.6,4.16842105263158,"DUNCAN",526,"M;C","Sassuolo",10,10,0,9.67608899923199
65,65,315,"A","ZAZA","Torino",26,5.69,6.08,4.16,"ZAZA",315,"Pc","Torino",13,12,1,2.00322700773733
304,304,2832,"C","BOGA","Sassuolo",24,6.15,6.56,4.14315789473684,"BOGA",2832,"W;A","Sassuolo",14,14,0,-3.35951276644777
33,33,184,"C","BERNARDESCHI","Juventus",25,6.04,6.26,4.11842105263158,"BERNARDESCHI",184,"W;A","Juventus",20,20,0,-3.58433912128565
