"","Name","VarianceFantasyEvaluation","PlayedMatches","MeanFantasyEvaluation","Team","Role","MedianFantasyEvaluation","WeightedFantasyEvaluation"
"302","LEMOS",3.83928571428571,8,6.125,"Sassuolo","D",6.25,1.28947368421053
"304","LETIZIA",0.930418719211823,29,5.8448275862069,"Benevento","D",6,4.46052631578948
"305","LETSCHERT",0.0357142857142857,7,5.92857142857143,"Sassuolo","D",6,1.09210526315789
"306","LICHTSTEINER",0.67948717948718,27,5.77777777777778,"Juventus","D",6,4.10526315789474
"308","LIROLA",0.340579710144928,24,5.83333333333333,"Sassuolo","D",6,3.68421052631579
"309","LISANDRO LOPEZ",NA,1,5.5,"Inter","D",5.5,0.144736842105263
"316","LUCIONI",1.20982142857143,8,5.8125,"Benevento","D",6,1.22368421052632
"318","LUIZ FELIPE",0.406045751633987,18,5.86111111111111,"Lazio","D",6,2.77631578947368
"319","LUKAKU J",0.97816091954023,30,6.26666666666667,"Lazio","D",6,4.94736842105263
"321","LYANCO",0.5,4,6,"Torino","D",6.25,0.631578947368421
"322","LYKOGIANNIS",0.440909090909091,11,6.09090909090909,"Cagliari","D",6,1.76315789473684
"323","MAGGIO",0.0993589743589744,13,6.15384615384615,"Napoli","D",6,2.10526315789474
"325","MAIETTA",0.238095238095238,7,6.28571428571429,"Bologna","D",6.5,1.15789473684211
"326","MAKSIMOVIC",0,2,6,"Napoli","D",6,0.315789473684211
"327","MANCINI G",2.00454545454545,11,6.13636363636364,"Atalanta","D",6,1.77631578947369
"330","MANOLAS",1.33189655172414,29,6.22413793103448,"Roma","D",6,4.75
"334","MARIO RUI",1.55666666666667,25,6.34,"Napoli","D",6,4.17105263157895
"335","MARTELLA",0.995689655172414,30,6.25,"Crotone","D",6.25,4.93421052631579
"337","MASIELLO A",1.93655913978495,31,6.64516129032258,"Atalanta","D",6.5,5.42105263157895
"338","MASINA",0.359402852049911,34,5.66176470588235,"Bologna","D",5.75,5.06578947368421
"341","MATTIELLO",0.261083743842365,29,5.75862068965517,"SPAL","D",6,4.39473684210526
"344","MAURICIO",NA,1,6,"Lazio","D",6,0.157894736842105
"348","MBAYE",1.11833333333333,25,5.92,"Bologna","D",6,3.89473684210526
"354","MIANGUE",0.604545454545454,11,5.86363636363636,"Cagliari","D",6,1.69736842105263
"355","MIGLIORE",0.4,6,5.5,"Genoa","D",5.75,0.868421052631579
"358","MILENKOVIC",0.366666666666667,16,5.75,"Fiorentina","D",6,2.42105263157895
"362","MIRANDA",0.265591397849462,31,6.03225806451613,"Inter","D",6,4.92105263157895
"365","MOLINARO",0.486184210526316,20,5.775,"Torino","D",6,3.03947368421053
"369","MORETTI",0.355519480519481,22,5.88636363636364,"Torino","D",6,3.40789473684211
"371","MURRU",0.459868421052632,20,5.725,"Sampdoria","D",5.75,3.01315789473684
"372","MUSACCHIO",0.423809523809524,15,5.56666666666667,"Milan","D",5.5,2.19736842105263
"373","N'KOULOU",1.23048048048048,37,6.22972972972973,"Torino","D",6,6.06578947368421
"374","NAGATOMO",0.154545454545455,11,5.86363636363636,"Inter","D",6,1.69736842105263
"382","NUYTINCK",0.972934472934473,27,6.12962962962963,"Udinese","D",6,4.35526315789474
"385","OIKONOMOU",0.395833333333333,4,5.375,"SPAL","D",5.5,0.565789473684211
"387","OLIVERA M",0.369047619047619,7,5.57142857142857,"Fiorentina","D",6,1.02631578947368
"391","PADOIN",0.713213213213213,37,5.81081081081081,"Cagliari","D",5.5,5.6578947368421
"395","PALOMINO",0.875384615384615,26,6.15384615384615,"Atalanta","D",6,4.21052631578947
"400","PATRIC",0.35,11,6,"Lazio","D",6,1.73684210526316
"401","PAVLOVIC",0.172727272727273,11,5.45454545454545,"Crotone","D",5.5,1.57894736842105
"409","PELUSO",1.06989247311828,31,5.85483870967742,"Sassuolo","D",6,4.77631578947368
"410","PEREIRA P",0.141666666666667,6,5.91666666666667,"Genoa","D",6,0.93421052631579
"417","PEZZELLA GER",0.849376114081996,34,6.11764705882353,"Fiorentina","D",6,5.47368421052632
"418","PEZZELLA GIU",0.373809523809524,15,5.53333333333333,"Udinese","D",5.5,2.18421052631579
"423","PISACANE",0.499547101449275,24,5.72916666666667,"Cagliari","D",5.75,3.61842105263158
"435","RADU",0.395161290322581,31,5.88709677419355,"Lazio","D",6,4.80263157894737
"440","RANOCCHIA",2.55454545454545,11,6.63636363636364,"Inter","D",6,1.92105263157895
"442","REGINI",0.285714285714286,14,5.85714285714286,"Sampdoria","D",6,2.15789473684211
"449","RODRIGUEZ R",1.15530303030303,34,5.75,"Milan","D",6,5.14473684210526
"451","ROGERIO",0.317307692307692,13,5.73076923076923,"Sassuolo","D",6,1.96052631578947
"453","ROMAGNA",0.422924901185771,23,5.82608695652174,"Cagliari","D",6,3.52631578947368
"454","ROMAGNOLI A",1.26851851851852,28,6.25,"Milan","D",6,4.60526315789474
"455","ROMAGNOLI S",0.142857142857143,8,6,"Bologna","D",6,1.26315789473684
"457","ROMULO",1.7728978978979,37,6.36486486486486,"Verona","D",6,6.19736842105263
"458","ROSI",0.148097826086957,24,5.6875,"Genoa","D",5.5,3.59210526315789
"459","ROSSETTINI",0.527667984189723,23,5.8695652173913,"Genoa","D",6,3.55263157894737
"462","RUGANI",1.4978354978355,22,6.45454545454545,"Juventus","D",6,3.73684210526315
"463","RUTJENS",NA,1,6,"Benevento","D",6,0.157894736842105
"465","SAGNA",1.48076923076923,13,6.19230769230769,"Benevento","D",6,2.11842105263158
