"","Name","VarianceFantasyEvaluation","PlayedMatches","MeanFantasyEvaluation","Team","Role","MedianFantasyEvaluation","WeightedFantasyEvaluation"
"64","BIONDINI",0.154761904761905,7,5.71428571428571,"Sassuolo","C",6,1.05263157894737
"67","BIRSA",1.57647058823529,35,6.3,"Chievo","C",6,5.80263157894737
"70","BONAVENTURA",4.99479166666667,33,6.83333333333333,"Milan","C",6,5.93421052631579
"75","BORJA VALERO",0.997420634920635,36,6.09722222222222,"Inter","C",6,5.77631578947368
"80","BRLEK",0.175,5,5.6,"Genoa","C",5.5,0.736842105263158
"81","BROZOVIC",3.14784946236559,31,6.74193548387097,"Inter","C",6,5.5
"84","BUCHEL",0.271739130434783,23,5.60869565217391,"Verona","C",5.5,3.39473684210526
"94","CALHANOGLU",3.71989247311828,31,6.85483870967742,"Milan","C",6.5,5.5921052631579
"95","CALIGARA",NA,1,6,"Cagliari","C",6,0.157894736842105
"97","CALVANO",0.166666666666667,15,5.83333333333333,"Verona","C",6,2.30263157894737
"99","CANDREVA",0.835515873015873,36,6.26388888888889,"Inter","C",6,5.93421052631579
"101","CAPEZZI",0.0666666666666667,6,6.16666666666667,"Sampdoria","C",6,0.973684210526316
"106","CASSATA",2.28055555555556,10,6.15,"Sassuolo","C",6,1.61842105263158
"109","CASTRO",3.53083333333333,25,6.52,"Chievo","C",6,4.28947368421053
"110","CATALDI",0.939655172413793,29,5.75862068965517,"Benevento","C",5.5,4.39473684210526
"112","CENTURION",0.0833333333333333,3,5.66666666666667,"Genoa","C",5.5,0.447368421052632
"118","CHIBSAH",0.490384615384615,14,5.25,"Benevento","C",5,1.93421052631579
"120","CHIESA",2.61964285714286,36,6.875,"Fiorentina","C",6.5,6.51315789473684
"122","CICIRETTI",2.3844696969697,12,6.54166666666667,"Benevento","C",6,2.06578947368421
"123","CIGARINI",2.19846153846154,26,5.96153846153846,"Cagliari","C",6,4.07894736842105
"127","COFIE",0.242424242424242,12,5.83333333333333,"Genoa","C",6,1.84210526315789
"133","COSSU",0.104545454545455,11,5.86363636363636,"Cagliari","C",6,1.69736842105263
"138","CRISETIG",0.0714285714285714,8,5.75,"Bologna","C",5.75,1.21052631578947
"139","CRISTANTE",4.31170634920635,36,6.84722222222222,"Atalanta","C",6,6.48684210526316
"140","CRISTOFORO",0.404761904761905,7,5.78571428571429,"Fiorentina","C",6,1.06578947368421
"141","CROCIATA",1.26818181818182,11,6.22727272727273,"Crotone","C",6,1.80263157894737
"143","CUADRADO",2.31190476190476,21,7.19047619047619,"Juventus","C",7,3.97368421052632
"145","D'ALESSANDRO",1.2625,16,6.4375,"Benevento","C",6.25,2.71052631578947
"149","DABO",2.17777777777778,10,6.2,"Fiorentina","C",6,1.63157894736842
"153","DANZI",0.175,5,5.4,"Verona","C",5.5,0.710526315789474
"155","DE PAUL",2.56644144144144,37,6.44594594594595,"Udinese","C",6,6.27631578947369
"156","DE ROON",1.40485739750446,34,6.16176470588235,"Atalanta","C",6,5.51315789473684
"157","DE ROSSI",1.20562770562771,22,6.09090909090909,"Roma","C",6,3.52631578947368
"163","DEIOLA",0.144230769230769,13,5.96153846153846,"Cagliari","C",6,2.03947368421053
"164","DEL PINTO",0.316666666666667,15,5.76666666666667,"Benevento","C",6,2.27631578947369
"168","DESSENA",0.0955882352941176,17,5.79411764705882,"Cagliari","C",6,2.59210526315789
"172","DI FRANCESCO F",1.08514492753623,24,6.29166666666667,"Bologna","C",6,3.97368421052632
"173","DI GENNARO D",0,2,6,"Lazio","C",6,0.315789473684211
"175","DIABY",0,2,6,"Crotone","C",6,0.315789473684211
"176","DIAWARA",1.03349673202614,18,6.30555555555556,"Napoli","C",6,2.98684210526316
"178","DJURICIC",0.6,16,6,"Benevento","C",6,2.52631578947368
"181","DONSAH",1.45238095238095,28,6.28571428571429,"Bologna","C",6,4.63157894736842
"182","DOUGLAS COSTA",2.24731182795699,31,7.2258064516129,"Juventus","C",6.5,5.89473684210526
"185","DUNCAN",0.581538461538462,26,5.80769230769231,"Sassuolo","C",5.75,3.97368421052632
"189","DZEMAILI",1.43571428571429,15,6.1,"Bologna","C",6,2.40789473684211
"195","EVERTON LUIZ",0.254545454545455,11,5.86363636363636,"SPAL","C",6,1.69736842105263
"196","EYSSERIC",1.04761904761905,21,6.11904761904762,"Fiorentina","C",6,3.38157894736842
"198","FALLETTI",1.56089743589744,13,6.03846153846154,"Bologna","C",6,2.06578947368421
"200","FARAGO'",3.72619047619048,7,7.64285714285714,"Cagliari","C",7.5,1.4078947368421
"207","FELIPE ANDERSON",3.13928571428571,21,7.21428571428571,"Lazio","C",6.5,3.98684210526316
"211","FLORENZI",1.53931451612903,32,6.15625,"Roma","C",6,5.18421052631579
"212","FOFANA",2.47079772079772,27,5.98148148148148,"Udinese","C",5.5,4.25
"213","FOSSATI",0.1875,17,5.5,"Verona","C",5.5,2.46052631578947
"214","FREULER",2.49663865546218,35,6.65714285714286,"Atalanta","C",6,6.13157894736842
"215","GAGLIARDINI",0.254022988505747,30,5.76666666666667,"Inter","C",6,4.55263157894737
"218","GARRITANO",0.122727272727273,11,5.95454545454545,"Chievo","C",6,1.72368421052631
"222","GAUDINO",0,2,6,"Chievo","C",6,0.315789473684211
"225","GERSON",2.6286231884058,24,6.20833333333333,"Roma","C",6,3.92105263157895
"227","GIACCHERINI",2.83639705882353,17,6.64705882352941,"Chievo","C",6,2.97368421052632
"230","GIL DIAS",1.19871794871795,27,6.11111111111111,"Fiorentina","C",6,4.34210526315789
"236","GONALONS",0.3625,16,5.9375,"Roma","C",6,2.5
"239","GRASSI",1.60582010582011,28,6.42857142857143,"SPAL","C",6,4.73684210526316
"241","GUILHERME",2.06628787878788,12,6.79166666666667,"Benevento","C",6.5,2.14473684210526
"242","GUSTAFSON",0.0833333333333333,4,5.75,"Torino","C",5.75,0.605263157894737
"244","HAAS",0.131944444444444,9,5.77777777777778,"Atalanta","C",6,1.36842105263158
"245","HALLFREDSSON",0.366959064327485,19,5.81578947368421,"Udinese","C",6,2.9078947368421
"246","HAMSIK",2.93456614509246,38,6.60526315789474,"Napoli","C",6,6.60526315789474
"252","HETEMAJ",1.97983870967742,32,6.3125,"Chievo","C",6,5.31578947368421
"255","HILJEMARK",0.828571428571429,15,6.1,"Genoa","C",6,2.40789473684211
"262","ILICIC",8.39623655913979,31,7.79032258064516,"Atalanta","C",6.5,6.35526315789474
"264","INGELSSON",2.23809523809524,7,6.21428571428571,"Udinese","C",6,1.14473684210526
"268","IONITA",0.233928571428571,36,5.79166666666667,"Cagliari","C",5.75,5.48684210526316
"269","IZCO",0.175,5,5.6,"Crotone","C",5.5,0.736842105263158
"271","JANKTO",2.8593253968254,36,6.43055555555556,"Udinese","C",6,6.0921052631579
"273","JOAO MARIO",0.379120879120879,14,6.07142857142857,"Inter","C",6,2.23684210526316
"274","JOAO PEDRO",3.23593073593074,22,6.45454545454545,"Cagliari","C",5.75,3.73684210526315
"275","JORGINHO",0.941761363636364,33,6.13636363636364,"Napoli","C",6,5.32894736842106
"284","KESSIE'",3.61749249249249,37,6.2972972972973,"Milan","C",6,6.13157894736842
"285","KHEDIRA",9.58346153846154,26,7.28846153846154,"Juventus","C",6,4.98684210526316
"290","KRAGL",0.075,5,5.8,"Crotone","C",6,0.763157894736842
"291","KREJCI",0.15719696969697,12,5.70833333333333,"Bologna","C",6,1.80263157894737
"292","KURTIC",1.79195402298851,30,6.03333333333333,"SPAL","C",5.5,4.76315789473684
"297","LAXALT",1.83240927419355,32,6.328125,"Genoa","C",6,5.32894736842105
"299","LAZOVIC",0.236904761904762,21,6.02380952380952,"Genoa","C",6,3.32894736842105
"300","LAZZARI M",1.22857142857143,36,6.33333333333333,"SPAL","C",6.5,6
"307","LINETTY",1.82758620689655,29,6.44827586206897,"Sampdoria","C",6,4.92105263157895
"312","LOCATELLI M",0.0976190476190476,21,5.95238095238095,"Milan","C",6,3.28947368421052
"315","LUCAS LEIVA",0.935515873015873,36,6.51388888888889,"Lazio","C",6.5,6.17105263157895
"317","LUIS ALBERTO",7.00735294117647,34,7.51470588235294,"Lazio","C",6.5,6.72368421052632
"320","LULIC",2.28781512605042,35,6.35714285714286,"Lazio","C",6,5.85526315789474
"324","MAGNANELLI",0.354586693548387,32,5.765625,"Sassuolo","C",6,4.85526315789474
"328","MANDRAGORA",1.22539682539683,36,6.05555555555556,"Crotone","C",6,5.73684210526316
"333","MARCHISIO",0.221428571428571,15,6.1,"Juventus","C",6,2.40789473684211
"336","MARUSIC",1.83467741935484,32,6.4375,"Lazio","C",6,5.42105263157895
"342","MATUIDI",1.45866935483871,32,6.40625,"Juventus","C",6,5.39473684210526
"343","MAURI J",NA,1,6,"Milan","C",6,0.157894736842105
"347","MAZZITELLI",0.480921052631579,20,5.825,"Sassuolo","C",6,3.06578947368421
"349","MEDEIROS",3.11818181818182,11,6.72727272727273,"Genoa","C",6,1.94736842105263
"351","MEMUSHAJ",0.492647058823529,17,5.64705882352941,"Benevento","C",5.5,2.52631578947368
"356","MIGUEL VELOSO",0.864177489177489,22,5.93181818181818,"Genoa","C",5.75,3.43421052631579
"360","MILINKOVIC-SAVIC",6.51176470588235,35,7.6,"Lazio","C",6.5,7
"364","MISSIROLI",0.717647058823529,35,6.1,"Sassuolo","C",6,5.61842105263158
"367","MONTOLIVO",1.19035947712418,18,6.02777777777778,"Milan","C",6,2.85526315789474
"368","MORA",0.248161764705882,17,5.82352941176471,"SPAL","C",6,2.60526315789474
"370","MURGIA",0.198958333333333,16,5.78125,"Lazio","C",6,2.43421052631579
"375","NAGY",1.40151515151515,12,6.08333333333333,"Bologna","C",6,1.92105263157895
"376","NAINGGOLAN",2.82365591397849,31,6.90322580645161,"Roma","C",6.5,5.63157894736842
"377","NALINI",0.741106719367589,23,6.17391304347826,"Crotone","C",6,3.73684210526316
"383","OBI",2.69480519480519,22,6.86363636363636,"Torino","C",6,3.97368421052631
"388","OMEONGA",0.0804093567251462,19,5.94736842105263,"Genoa","C",6,2.97368421052632
"399","PAROLO",3.13494623655914,31,6.58064516129032,"Lazio","C",6,5.36842105263158
"413","PERISIC",7.18130630630631,37,7.16216216216216,"Inter","C",6,6.97368421052631
"414","PEROTTI",4.35166666666667,25,6.68,"Roma","C",6,4.39473684210526
"424","PJANIC",3.2989247311828,31,7.03225806451613,"Juventus","C",6.5,5.73684210526316
"425","POLI",1.26512096774194,32,6.09375,"Bologna","C",6,5.13157894736842
"427","PONTISSO",NA,1,6,"Udinese","C",6,0.157894736842105
"428","PRAET",0.919102822580645,32,6.234375,"Sampdoria","C",6,5.25
"431","PULGAR",2.53931451612903,32,6.09375,"Bologna","C",6,5.13157894736842
"434","RADOVANOVIC",0.820168067226891,35,5.94285714285714,"Chievo","C",6,5.47368421052631
"437","RAFINHA",2.14889705882353,17,6.85294117647059,"Inter","C",6.5,3.06578947368421
"439","RAMIREZ",2.52852852852853,37,6.33783783783784,"Sampdoria","C",6,6.17105263157895
"445","RIGONI L",2.11067193675889,23,6.23913043478261,"Genoa","C",6,3.77631578947368
"446","RIGONI N",0.214285714285714,15,5.5,"Chievo","C",5.5,2.17105263157895
"447","RINCON",0.678373015873016,36,5.98611111111111,"Torino","C",6,5.67105263157895
"448","RIZZO",2.90454545454545,11,6.63636363636364,"Atalanta","C",6,1.92105263157895
"450","ROG",0.476190476190476,28,6.07142857142857,"Napoli","C",6,4.47368421052632
"452","ROHDEN",1.39115384615385,26,5.86538461538461,"Crotone","C",5.5,4.01315789473684
"456","ROMERO A",0.0416666666666667,6,5.91666666666667,"Crotone","C",6,0.93421052631579
"471","SANCHEZ C",2.13194444444444,9,6.22222222222222,"Fiorentina","C",6,1.47368421052632
"472","SANDRO",1.44642857142857,14,6.32142857142857,"Benevento","C",6.25,2.32894736842105
"476","SAPONARA",0.592320261437909,18,6.19444444444444,"Fiorentina","C",6,2.93421052631579
"480","SCHIATTARELLA",0.781182795698925,31,6.25806451612903,"SPAL","C",6,5.10526315789474
"481","SCHIAVON",0.0511363636363636,12,5.875,"SPAL","C",6,1.85526315789474
"485","SENSI",2.30514705882353,17,6.35294117647059,"Sassuolo","C",6,2.8421052631579
"501","SPINAZZOLA",0.496732026143791,18,5.94444444444444,"Atalanta","C",5.5,2.81578947368421
"505","STIJEPOVIC",NA,1,6,"Sampdoria","C",6,0.157894736842105
"506","STOIAN",1.53931451612903,32,6.09375,"Crotone","C",6,5.13157894736842
"509","STROOTMAN",0.828377016129032,32,5.953125,"Roma","C",6,5.01315789473684
"511","STURARO",0.0662878787878788,12,5.79166666666667,"Juventus","C",6,1.82894736842105
"512","SUSO",4.24705882352941,35,6.9,"Milan","C",6.5,6.35526315789474
"514","TAARABT",2.52813852813853,22,6.36363636363636,"Genoa","C",6,3.68421052631579
"515","TAIDER",0.3125,9,6.16666666666667,"Bologna","C",6,1.46052631578947
"520","TONEV",0.125,8,5.625,"Crotone","C",5.5,1.18421052631579
"522","TORRASI",NA,1,6,"Milan","C",6,0.157894736842105
"523","TORREIRA",3.03551587301587,36,6.48611111111111,"Sampdoria","C",6.5,6.14473684210526
"529","UNDER",5.63846153846154,26,6.96153846153846,"Roma","C",6,4.76315789473684
"531","VALDIFIORI",0.224358974358974,13,5.65384615384615,"Torino","C",6,1.93421052631579
"532","VALOTI",3.15846153846154,26,5.96153846153846,"Verona","C",5.5,4.07894736842105
"534","VECINO",1.90024630541872,29,6.31034482758621,"Inter","C",6,4.81578947368421
"537","VERDI",4.75579322638146,34,7.32352941176471,"Bologna","C",6,6.55263157894737
"538","VERETOUT",5.09107142857143,36,6.79166666666667,"Fiorentina","C",6.25,6.43421052631579
"539","VERRE",0.0882352941176471,18,5.83333333333333,"Sampdoria","C",6,2.76315789473684
"542","VIOLA",2.64492753623188,24,6.08333333333333,"Benevento","C",6,3.84210526315789
"543","VITALE",0,2,6,"SPAL","C",6,0.315789473684211
"545","VIVIANI",1.36453201970443,29,6.31034482758621,"SPAL","C",6,4.81578947368421
"547","VOLPICELLI",NA,1,6,"Benevento","C",6,0.157894736842105
"552","ZACCAGNI",0.175,6,5.75,"Verona","C",6,0.907894736842105
"554","ZANELLATO",NA,1,5.5,"Crotone","C",5.5,0.144736842105263
"560","ZIELINSKI",1.93551587301587,36,6.48611111111111,"Napoli","C",6,6.14473684210526
"561","ZUCULINI B",2.95,16,5.875,"Verona","C",5.75,2.47368421052632
"562","ZUCULINI F",0.0727272727272727,11,5.95454545454545,"Verona","C",6,1.72368421052631
