"Squadra","Avversario","Day","SquadraCasa"
"Napoli","Roma",28,1
"Sampdoria","Atalanta",28,0
"Atalanta","Sampdoria",28,1
"Sassuolo","Chievo",28,0
"Chievo","Sassuolo",28,1
"Atalanta","Bologna",29,0
"Bologna","Atalanta",29,1
"Benevento","Fiorentina",29,0
"Fiorentina","Benevento",29,1
"Chievo","Verona",29,0
"Verona","Chievo",29,1
"Lazio","Cagliari",29,0
"Cagliari","Lazio",29,1
"Milan","Genoa",29,0
"Genoa","Milan",29,1
"Napoli","Inter",29,0
"Inter","Napoli",29,1
"Sampdoria","Crotone",29,0
"Crotone","Sampdoria",29,1
"Spal","Sassuolo",29,0
"Sassuolo","Spal",29,1
"Torino","Roma",29,0
"Roma","Torino",29,1
"Udinese","Juventus",29,0
"Juventus","Udinese",29,1
"Atalanta","Verona",30,0
"Verona","Atalanta",30,1
"Bologna","Lazio",30,0
"Lazio","Bologna",30,1
"Cagliari","Benevento",30,0
"Benevento","Cagliari",30,1
"Chievo","Milan",30,0
"Milan","Chievo",30,1
"Fiorentina","Torino",30,0
"Torino","Fiorentina",30,1
"Genoa","Napoli",30,0
"Napoli","Genoa",30,1
"Inter","Sampdoria",30,0
"Sampdoria","Inter",30,1
"Juventus","Spal",30,0
"Spal","Juventus",30,1
"Roma","Crotone",30,0
"Crotone","Roma",30,1
"Sassuolo","Udinese",30,0
"Udinese","Sassuolo",30,1
"Benevento","Lazio",31,0
"Lazio","Benevento",31,1
"Crotone","Fiorentina",31,0
"Fiorentina","Crotone",31,1
"Verona","Inter",31,0
"Inter","Verona",31,1
"Milan","Juventus",31,0
"Juventus","Milan",31,1
"Napoli","Sassuolo",31,0
"Sassuolo","Napoli",31,1
"Roma","Bologna",31,0
"Bologna","Roma",31,1
"Sampdoria","Chievo",31,0
"Chievo","Sampdoria",31,1
"Spal","Genoa",31,0
"Genoa","Spal",31,1
"Torino","Cagliari",31,0
"Cagliari","Torino",31,1
