"","Name","MantraRole","VarianceFantasyEvaluation","PlayedMatches","MeanFantasyEvaluation","Team","Role","MedianFantasyEvaluation","WeightedFantasyEvaluation","Qt..A","Qt..I","Plays2018_2019","Owner","Price"
"36","BADU","M",NA,10,NA,NA,"C",NA,1.59353006044804,4,5,1,"",NA
"37","BAGHERIA","Por",NA,1,NA,NA,"P",NA,0,1,1,1,"",NA
"38","BAKAYOKO","C",NA,33,NA,NA,"C",NA,5.2214092515681,10,11,1,"",NA
"39","BAKAYOKO","M",NA,33,NA,NA,"C",NA,5.2214092515681,10,11,1,"",NA
"40","BALIC","C",0.2619047619,21,5.6904761905,"Udinese","C",6,3.1447368421,2,3,1,"",NA
"41","BANI","Dc",0.2322916667,16,5.78125,"Chievo","D",5.75,2.4342105263,6,6,1,"",NA
"42","BARAK","C",4.76114082,34,6.7647058824,"Udinese","C",6,6.0526315789,14,15,1,"",NA
"43","BARAK","T",4.76114082,34,6.7647058824,"Udinese","C",6,6.0526315789,14,15,1,"",NA
"44","BARAYE","A",NA,10,NA,NA,"A",NA,1.59353006044804,4,5,1,"",NA
"45","BARBA","Dc",NA,1,NA,NA,"D",NA,0,4,4,1,"",NA
"46","BARDI","Por",NA,1,NA,NA,"P",NA,0,1,1,1,"",NA
"47","BARELLA","C",2.36385918,34,6.6911764706,"Cagliari","C",6,5.9868421053,14,14,1,"",NA
"48","BARELLA","M",2.36385918,34,6.6911764706,"Cagliari","C",6,5.9868421053,14,14,1,"",NA
"49","BARILLA'","C",NA,1,NA,NA,"C",NA,0,5,3,1,"",NA
"50","BARRETO","M",NA,10,NA,NA,"C",NA,1.59353006044804,5,5,1,"",NA
"51","BARRETO","C",NA,10,NA,NA,"C",NA,1.59353006044804,5,5,1,"",NA
"52","BARROW","Pc",3.1515151515,12,7.1666666667,"Atalanta","A",6.25,2.2631578947,10,11,1,"",NA
"53","BARZAGLI","Dc",0.2566666667,25,6.06,"Juventus","D",6,3.9868421053,2,3,1,"",NA
"54","BASELLI","C",2.0796370968,32,6.21875,"Torino","C",6,5.2368421053,10,10,1,"",NA
"55","BASTA","E",0.3227272727,11,6.0454545455,"Lazio","D",6,1.75,2,3,1,"",NA
"56","BASTA","Dd",0.3227272727,11,6.0454545455,"Lazio","D",6,1.75,2,3,1,"",NA
"57","BASTONI","Dc",0.0625,4,6.125,"Atalanta","D",6,0.6447368421,1,1,1,"",NA
"58","BASTOS","Dc",2.5976190476,21,6.5476190476,"Lazio","D",6,3.6184210526,8,8,1,"",NA
"59","BEGHETTO","E",NA,1,NA,NA,"C",NA,0,1,2,1,"",NA
"60","BEHRAMI","C",1.0125,20,6.225,"Udinese","C",6,3.2763157895,5,4,1,"",NA
"61","BEHRAMI","M",1.0125,20,6.225,"Udinese","C",6,3.2763157895,5,4,1,"",NA
"62","BELEC","Por",2.380952381,15,3.6666666667,"Sampdoria","P",4,1.4473684211,1,1,1,"",NA
"63","BELOTTI","Pc",8.8054435484,32,6.78125,"Torino","A",5.75,5.7105263158,29,29,1,"",NA
"64","BENASSI","C",2.9525210084,35,6.3428571429,"Fiorentina","C",5.5,5.8421052632,15,12,1,"",NA
"65","BENATIA","Dc",1.6026315789,20,6.55,"Juventus","D",6.5,3.4473684211,9,10,1,"",NA
"66","BENNACER","C",NA,21,NA,NA,"C",NA,3.37178786018851,6,6,1,"",NA
"67","BENTANCUR","C",0.0947368421,20,5.9,"Juventus","C",6,3.1052631579,7,8,1,"",NA
"68","BERARDI","A",2.8978494624,31,5.7580645161,"Sassuolo","A",5.5,4.6973684211,18,16,1,"VE",14
"69","BERENGUER","W",1.3187229437,22,6.1590909091,"Torino","C",6,3.5657894737,5,5,1,"",NA
"70","BERESZYNSKI","E",0.3139784946,31,5.7741935484,"Sampdoria","D",5.5,4.7105263158,7,7,1,"",NA
"71","BERESZYNSKI","Dd",0.3139784946,31,5.7741935484,"Sampdoria","D",5.5,4.7105263158,7,7,1,"",NA
"72","BERISHA E","Por",1.1994623656,31,5.1290322581,"Atalanta","P",5,4.1842105263,11,12,1,"",NA
"73","BERISHA V","T",NA,33,NA,NA,"C",NA,5.2214092515681,10,11,1,"",NA
"74","BERISHA V","C",NA,33,NA,NA,"C",NA,5.2214092515681,10,11,1,"",NA
"75","BERNARDESCHI","W",2.9875541126,22,7.0227272727,"Juventus","C",6,4.0657894737,17,16,1,"BRYAN",12
"76","BERNARDESCHI","A",2.9875541126,22,7.0227272727,"Juventus","C",6,4.0657894737,17,16,1,"BRYAN",12
"77","BERNI","Por",NA,1,NA,NA,"P",NA,0,1,1,1,"",NA
"78","BERTOLACCI","C",0.8925189394,33,5.9242424242,"Genoa","C",6,5.1447368421,7,8,1,"ME",2
"79","BESSA","C",2.6570767196,28,6.2321428571,"Genoa","C",6,4.5921052632,6,7,1,"",NA
"80","BESSA","T",2.6570767196,28,6.2321428571,"Genoa","C",6,4.5921052632,6,7,1,"",NA
"81","BETTELLA","Dc",NA,1,NA,NA,"D",NA,0,1,1,1,"",NA
"82","BIABIANY","W",NA,10,NA,NA,"C",NA,1.59353006044804,4,5,1,"",NA
"83","BIANDA","Dc",NA,1,NA,NA,"D",NA,0,1,1,1,"",NA
"84","BIGLIA","C",1.0459656085,28,5.9821428571,"Milan","C",6,4.4078947368,8,8,1,"",NA
"85","BIGLIA","M",1.0459656085,28,5.9821428571,"Milan","C",6,4.4078947368,8,8,1,"",NA
"86","BIRAGHI","Ds",1.0875668449,34,5.8970588235,"Fiorentina","D",6,5.2763157895,7,6,1,"GATTI",2
"87","BIRAGHI","E",1.0875668449,34,5.8970588235,"Fiorentina","D",6,5.2763157895,7,6,1,"GATTI",2
"88","BIRASCHI","Dc",0.4160079051,23,5.9347826087,"Genoa","D",6,3.5921052632,6,6,1,"",NA
"89","BIRASCHI","Dd",0.4160079051,23,5.9347826087,"Genoa","D",6,3.5921052632,6,6,1,"",NA
"90","BIRSA","T",1.5764705882,35,6.3,"Chievo","C",6,5.8026315789,12,12,1,"",NA
"91","BOATENG","T",NA,38,NA,NA,"C",NA,6.55701395527912,22,20,1,"ME",25
"92","BOATENG","A",NA,38,NA,NA,"C",NA,6.55701395527912,22,20,1,"ME",25
"93","BOGA","A",NA,31,NA,NA,"C",NA,4.40015620343502,8,8,1,"",NA
"94","BOGA","T",NA,31,NA,NA,"C",NA,4.40015620343502,8,8,1,"",NA
"95","BONAVENTURA","T",4.9947916667,33,6.8333333333,"Milan","C",6,5.9342105263,21,20,1,"VE",23
"96","BONAVENTURA","W",4.9947916667,33,6.8333333333,"Milan","C",6,5.9342105263,21,20,1,"VE",23
"97","BONAVENTURA","C",4.9947916667,33,6.8333333333,"Milan","C",6,5.9342105263,21,20,1,"VE",23
"98","BONIFAZI","Dc",0.4,6,6,"Torino","D",6.25,0.9473684211,2,3,1,"",NA
"99","BONUCCI","Dc",1.4117647059,35,6,"Milan","D",6,5.5263157895,12,12,1,"",NA
"100","BORINI","W",1.4174876847,29,6.1034482759,"Milan","C",6,4.6578947368,6,6,1,"",NA
"101","BORJA VALERO","C",0.9974206349,36,6.0972222222,"Inter","C",6,5.7763157895,5,6,1,"ME",6
"102","BOURABIA","C",NA,10,NA,NA,"C",NA,1.59353006044804,6,5,1,"",NA
"103","BRADARIC","C",NA,30,NA,NA,"C",NA,4.72318396627123,9,9,1,"",NA
"104","BRADARIC","M",NA,30,NA,NA,"C",NA,4.72318396627123,9,9,1,"",NA
"105","BREMER","Dc",NA,1,NA,NA,"D",NA,0,3,4,1,"",NA
"106","BRIGHENTI","Ds",NA,1,NA,NA,"D",NA,0,3,2,1,"",NA
"107","BRIGHENTI","Dc",NA,1,NA,NA,"D",NA,0,3,2,1,"",NA
"108","BRIGHENTI","Dd",NA,1,NA,NA,"D",NA,0,3,2,1,"",NA
"109","BRIGHI","M",NA,1,NA,NA,"C",NA,0,1,2,1,"",NA
"110","BRIGHI","C",NA,1,NA,NA,"C",NA,0,1,2,1,"",NA
"111","BRIGNOLA","A",2.3897058824,18,6.75,"Benevento","A",6.5,3.1973684211,8,9,1,"",NA
"112","BROZOVIC","C",3.1478494624,31,6.7419354839,"Inter","C",6,5.5,15,16,1,"",NA
"113","BROZOVIC","T",3.1478494624,31,6.7419354839,"Inter","C",6,5.5,15,16,1,"",NA
"114","BRUNO ALVES","Dc",NA,10,NA,NA,"D",NA,1.59353006044804,6,5,1,"",NA
"115","BRUNO JORDAO","C",NA,1,NA,NA,"C",NA,0,1,1,1,"",NA
"116","CACCIATORE","Ds",1.0771780303,33,6.0303030303,"Chievo","D",6,5.2368421053,7,7,1,"",NA
"117","CACCIATORE","Dd",1.0771780303,33,6.0303030303,"Chievo","D",6,5.2368421053,7,7,1,"",NA
"118","CACCIATORE","E",1.0771780303,33,6.0303030303,"Chievo","D",6,5.2368421053,7,7,1,"",NA
"119","CACERES","Dd",2.8947368421,20,6.5,"Lazio","D",6,3.4210526316,5,5,1,"",NA
"120","CACERES","Dc",2.8947368421,20,6.5,"Lazio","D",6,3.4210526316,5,5,1,"",NA
"121","CAICEDO","Pc",2.5649350649,22,6.2727272727,"Lazio","A",6,3.6315789474,5,6,1,"",NA
"122","CALABRESI","Dd",NA,1,NA,NA,"D",NA,0,1,1,1,"",NA
"123","CALABRESI","Dc",NA,1,NA,NA,"D",NA,0,1,1,1,"",NA
"124","CALABRIA","Dd",1.7654761905,21,6.2619047619,"Milan","D",6,3.4605263158,7,6,1,"ME",9
"125","CALABRIA","E",1.7654761905,21,6.2619047619,"Milan","D",6,3.4605263158,7,6,1,"ME",9
"126","CALAIO'","Pc",NA,1,NA,NA,"A",NA,0,1,1,1,"",NA
"127","CALDARA","Dc",2.9125905797,24,6.3958333333,"Atalanta","D",6,4.0394736842,11,12,1,"",NA
"128","CALHANOGLU","A",3.7198924731,31,6.8548387097,"Milan","C",6.5,5.5921052632,20,21,1,"",NA
"129","CALHANOGLU","T",3.7198924731,31,6.8548387097,"Milan","C",6.5,5.5921052632,20,21,1,"",NA
"130","CALLEJON","A",4.3842460882,38,7.1184210526,"Napoli","A",6.5,7.1184210526,21,21,1,"ME",15
"131","CALLEJON","W",4.3842460882,38,7.1184210526,"Napoli","A",6.5,7.1184210526,21,21,1,"ME",15
"132","CAMPBELL","A",NA,35,NA,NA,"A",NA,5.42487565640231,11,12,1,"",NA
"133","CAN ","M",NA,33,NA,NA,"C",NA,6.44528834949885,18,19,1,"ME",1
"134","CAN ","C",NA,33,NA,NA,"C",NA,6.44528834949885,18,19,1,"ME",1
"135","CANCELO","Dd",0.9153846154,26,6.3461538462,"Inter","D",6,4.3421052632,14,14,1,"",NA
"136","CANCELO","E",0.9153846154,26,6.3461538462,"Inter","D",6,4.3421052632,14,14,1,"",NA
"137","CANDREVA","W",0.835515873,36,6.2638888889,"Inter","C",6,5.9342105263,13,13,1,"",NA
"138","CAPEZZI","C",0.0666666667,6,6.1666666667,"Sampdoria","C",6,0.9736842105,4,4,1,"",NA
"139","CAPEZZI","M",0.0666666667,6,6.1666666667,"Sampdoria","C",6,0.9736842105,4,4,1,"",NA
"140","CAPRARI","T",2.4830659537,34,6.3235294118,"Sampdoria","A",6,5.6578947368,9,10,1,"",NA
"141","CAPRARI","A",2.4830659537,34,6.3235294118,"Sampdoria","A",6,5.6578947368,9,10,1,"",NA
"142","CAPUANO","Ds",0.44,25,5.74,"Crotone","D",6,3.7763157895,4,5,1,"",NA
"143","CAPUANO","Dc",0.44,25,5.74,"Crotone","D",6,3.7763157895,4,5,1,"",NA
"144","CAPUTO","Pc",NA,36,NA,NA,"A",NA,5.77425714782098,14,14,1,"",NA
"145","CASSATA","C",2.2805555556,10,6.15,"Sassuolo","C",6,1.6184210526,2,2,1,"",NA
"146","CASTAGNE","Dd",0.4861842105,20,6.025,"Atalanta","D",6,3.1710526316,7,6,1,"",NA
"147","CASTAGNE","E",0.4861842105,20,6.025,"Atalanta","D",6,3.1710526316,7,6,1,"",NA
"148","CASTILLEJO","A",NA,38,NA,NA,"A",NA,6.06972619871497,15,16,1,"",NA
"149","CASTILLEJO","W",NA,38,NA,NA,"A",NA,6.06972619871497,15,16,1,"",NA
"150","CASTRO","C",3.5308333333,25,6.52,"Chievo","C",6,4.2894736842,11,12,1,"",NA
"151","CASTRO","T",3.5308333333,25,6.52,"Chievo","C",6,4.2894736842,11,12,1,"",NA
"152","CATALDI","M",0.9396551724,29,5.7586206897,"Benevento","C",5.5,4.3947368421,3,4,1,"",NA
"153","CATALDI","C",0.9396551724,29,5.7586206897,"Benevento","C",5.5,4.3947368421,3,4,1,"",NA
"154","CECCHERINI","Dc",1.0671921922,37,5.9054054054,"Crotone","D",6,5.75,5,6,1,"BRYAN",11
"155","CECCHERINI","Dd",1.0671921922,37,5.9054054054,"Crotone","D",6,5.75,5,6,1,"BRYAN",11
"156","CEPPITELLI","Dc",1.9294871795,27,6.2777777778,"Cagliari","D",6,4.4605263158,7,8,1,"",NA
"157","CERAVOLO","Pc",NA,1,5.5,"Benevento","A",5.5,0.1447368421,9,10,1,"",NA
"158","CERRI","Pc",NA,21,NA,NA,"A",NA,3.98451169561749,6,7,1,"",NA
"159","CESAR","Dc",0.3027777778,10,5.55,"Chievo","D",5.75,1.4605263158,1,1,1,"",NA
"160","CHIBSAH","C",0.4903846154,14,5.25,"Benevento","C",5,1.9342105263,4,3,1,"",NA
"161","CHIBSAH","M",0.4903846154,14,5.25,"Benevento","C",5,1.9342105263,4,3,1,"",NA
"162","CHIELLINI","Dc",0.2446153846,26,6.2307692308,"Juventus","D",6,4.2631578947,13,12,1,"",NA
"163","CHIRICHES","Dc",0.1547619048,7,5.7857142857,"Napoli","D",5.5,1.0657894737,2,3,1,"",NA
"164","CIANO","A",NA,37,NA,NA,"A",NA,4.99092040443647,10,10,1,"",NA
"165","CICIRETTI","T",2.384469697,12,6.5416666667,"Benevento","C",6,2.0657894737,11,12,1,"",NA
"166","CICIRETTI","W",2.384469697,12,6.5416666667,"Benevento","C",6,2.0657894737,11,12,1,"",NA
"167","CIGARINI","C",2.1984615385,26,5.9615384615,"Cagliari","C",6,4.0789473684,6,7,1,"BRYAN",6
"168","CIGARINI","M",2.1984615385,26,5.9615384615,"Cagliari","C",6,4.0789473684,6,7,1,"BRYAN",6
"169","CIOFANI D","Pc",NA,21,NA,NA,"A",NA,3.37178786018851,5,6,1,"",NA
"170","CIONEK","Dc",0.9452380952,15,6.3666666667,"SPAL","D",6.5,2.5131578947,9,9,1,"",NA
"171","COLIDIO","Pc",NA,1,NA,NA,"A",NA,0,1,1,1,"",NA
"172","COLLEY","Dc",NA,21,NA,NA,"D",NA,3.98451169561749,6,7,1,"",NA
"173","CONSIGLI","Por",4.6336336336,37,4.7567567568,"Sassuolo","P",5,4.6315789474,9,9,1,"",NA
"174","CONTI","Dd",0.125,2,6.25,"Milan","D",6.25,0.3289473684,6,7,1,"",NA
"175","CONTI","E",0.125,2,6.25,"Milan","D",6.25,0.3289473684,6,7,1,"",NA
"176","CORIC","C",NA,1,NA,NA,"C",NA,0,2,3,1,"",NA
"177","CORIC","T",NA,1,NA,NA,"C",NA,0,2,3,1,"",NA
"178","CORREA","T",NA,35,NA,NA,"C",NA,5.42487565640231,12,12,1,"",NA
"179","CORREA","A",NA,35,NA,NA,"C",NA,5.42487565640231,12,12,1,"",NA
"180","COSTA F","E",0.3932806324,23,5.9347826087,"SPAL","D",6,3.5921052632,3,4,1,"",NA
"181","COSTA F","Ds",0.3932806324,23,5.9347826087,"SPAL","D",6,3.5921052632,3,4,1,"",NA
"182","COULIBALY","C",NA,1,NA,NA,"C",NA,0,1,1,1,"",NA
"183","CRAGNO","Por",3.6878078818,29,4.7931034483,"Cagliari","P",5,3.6578947368,8,8,1,"",NA
"184","CRISCITO","Ds",NA,30,NA,NA,"D",NA,4.72318396627123,9,9,1,"",NA
"185","CRISCITO","Dc",NA,30,NA,NA,"D",NA,4.72318396627123,9,9,1,"",NA
"186","CRISETIG","M",0.0714285714,8,5.75,"Bologna","C",5.75,1.2105263158,5,5,1,"",NA
"187","CRISETIG","C",0.0714285714,8,5.75,"Bologna","C",5.75,1.2105263158,5,5,1,"",NA
"188","CRISTANTE","T",4.3117063492,36,6.8472222222,"Atalanta","C",6,6.4868421053,17,18,1,"",NA
"189","CRISTANTE","C",4.3117063492,36,6.8472222222,"Atalanta","C",6,6.4868421053,17,18,1,"",NA
"190","CRISTIANO RONALDO","Pc",NA,33,NA,NA,"A",NA,8.57623259552068,45,49,1,"BRYAN",60
"191","CUADRADO","W",2.3119047619,21,7.1904761905,"Juventus","C",7,3.9736842105,17,18,1,"",NA
"192","CUTRONE","Pc",6.8237433862,28,7.2678571429,"Milan","A",6,5.3552631579,17,17,1,"",NA
"193","D'ALESSANDRO","W",1.2625,16,6.4375,"Benevento","C",6.25,2.7105263158,3,3,1,"",NA
"194","D'AMBROSIO","Dd",1.4699197861,34,6.1911764706,"Inter","D",6,5.5394736842,7,8,1,"ME",6
"195","D'AMBROSIO","E",1.4699197861,34,6.1911764706,"Inter","D",6,5.5394736842,7,8,1,"ME",6
"196","D'AMBROSIO","Ds",1.4699197861,34,6.1911764706,"Inter","D",6,5.5394736842,7,8,1,"ME",6
"197","DA COSTA","Por",1.5625,4,5.125,"Bologna","P",5.25,0.5394736842,1,1,1,"",NA
"198","DA CRUZ","A",NA,10,NA,NA,"A",NA,1.59353006044804,5,5,1,"",NA
"199","DABO","M",2.1777777778,10,6.2,"Fiorentina","C",6,1.6315789474,7,7,1,"",NA
"200","DABO","C",2.1777777778,10,6.2,"Fiorentina","C",6,1.6315789474,7,7,1,"",NA
"201","DALBERT","Ds",0.1923076923,13,5.7307692308,"Inter","D",6,1.9605263158,3,3,1,"",NA
"202","DALBERT","E",0.1923076923,13,5.7307692308,"Inter","D",6,1.9605263158,3,3,1,"",NA
"203","DALMONTE","A",NA,1,NA,NA,"A",NA,0,1,1,1,"",NA
"204","DAMASCAN","Pc",NA,1,NA,NA,"A",NA,0,1,1,1,"",NA
"205","DANILO","Dc",0.7134576613,32,5.859375,"Udinese","D",6,4.9342105263,9,8,1,"",NA
"206","DE MAIO","Dc",1.3784615385,26,6.0384615385,"Bologna","D",5.75,4.1315789474,6,7,1,"",NA
"207","DE PAUL","W",2.5664414414,37,6.4459459459,"Udinese","C",6,6.2763157895,16,15,1,"",NA
"208","DE PAUL","T",2.5664414414,37,6.4459459459,"Udinese","C",6,6.2763157895,16,15,1,"",NA
"209","DE ROON","M",1.4048573975,34,6.1617647059,"Atalanta","C",6,5.5131578947,8,8,1,"",NA
"210","DE ROON","C",1.4048573975,34,6.1617647059,"Atalanta","C",6,5.5131578947,8,8,1,"",NA
"211","DE ROSSI","C",1.2056277056,22,6.0909090909,"Roma","C",6,3.5263157895,8,8,1,"BRYAN",15
"212","DE ROSSI","M",1.2056277056,22,6.0909090909,"Roma","C",6,3.5263157895,8,8,1,"BRYAN",15
"213","DE SCIGLIO","Ds",1.196969697,12,6.6666666667,"Juventus","D",6.5,2.1052631579,6,7,1,"ME",3
"214","DE SCIGLIO","E",1.196969697,12,6.6666666667,"Juventus","D",6.5,2.1052631579,6,7,1,"ME",3
"215","DE SCIGLIO","Dd",1.196969697,12,6.6666666667,"Juventus","D",6.5,2.1052631579,6,7,1,"ME",3
"216","DE SILVESTRI","Dd",2.2785714286,35,6.5285714286,"Torino","D",6,6.0131578947,14,14,1,"ME",10
"217","DE SILVESTRI","E",2.2785714286,35,6.5285714286,"Torino","D",6,6.0131578947,14,14,1,"ME",10
"218","DE VRIJ","Dc",1.9777777778,36,6.7777777778,"Lazio","D",6.5,6.4210526316,18,17,1,"GATTI",18
"219","DEFREL","Pc",1.1595238095,15,5.8666666667,"Roma","A",5.5,2.3157894737,22,20,1,"",NA
"220","DEIOLA","C",0.1442307692,13,5.9615384615,"Cagliari","C",6,2.0394736842,3,3,1,"",NA
"221","DEIOLA","M",0.1442307692,13,5.9615384615,"Cagliari","C",6,2.0394736842,3,3,1,"",NA
"222","DELL'ORCO","Dc",0.3169642857,8,6.0625,"Sassuolo","D",6,1.2763157895,3,4,1,"",NA
"223","DELL'ORCO","Ds",0.3169642857,8,6.0625,"Sassuolo","D",6,1.2763157895,3,4,1,"",NA
"224","DEPAOLI","E",0.2032163743,19,5.7894736842,"Chievo","C",6,2.8947368421,5,4,1,"",NA
"225","DEPAOLI","M",0.2032163743,19,5.7894736842,"Chievo","C",6,2.8947368421,5,4,1,"",NA
"226","DEPAOLI","Dd",0.2032163743,19,5.7894736842,"Chievo","C",6,2.8947368421,5,4,1,"",NA
"227","DESSENA","E",0.0955882353,17,5.7941176471,"Cagliari","C",6,2.5921052632,3,3,1,"",NA
"228","DESSENA","M",0.0955882353,17,5.7941176471,"Cagliari","C",6,2.5921052632,3,3,1,"",NA
"229","DESTRO","Pc",5.0338461538,26,6.5769230769,"Bologna","A",6,4.5,12,13,1,"",NA
"230","DEZI","C",NA,10,NA,NA,"C",NA,1.59353006044804,4,5,1,"",NA
"231","DI CESARE","Dc",NA,1,NA,NA,"D",NA,0,2,3,1,"",NA
"232","DI FRANCESCO F","W",1.0851449275,24,6.2916666667,"Bologna","A",6,3.9736842105,13,14,1,"",NA
"233","DI FRANCESCO F","A",1.0851449275,24,6.2916666667,"Bologna","A",6,3.9736842105,13,14,1,"",NA
"234","DI GAUDIO","A",NA,1,NA,NA,"C",NA,0,4,4,1,"",NA
"235","DI GAUDIO","W",NA,1,NA,NA,"C",NA,0,4,4,1,"",NA
"236","DI LORENZO","E",NA,10,NA,NA,"D",NA,1.59353006044804,6,5,1,"",NA
"237","DI LORENZO","Dd",NA,10,NA,NA,"D",NA,1.59353006044804,6,5,1,"",NA
"238","DIAWARA","M",1.033496732,18,6.3055555556,"Napoli","C",6,2.9868421053,9,9,1,"",NA
"239","DIAWARA","C",1.033496732,18,6.3055555556,"Napoli","C",6,2.9868421053,9,9,1,"",NA
"240","DICKMANN","Dd",NA,1,NA,NA,"D",NA,0,1,2,1,"",NA
"241","DICKMANN","E",NA,1,NA,NA,"D",NA,0,1,2,1,"",NA
"242","DIJKS","E",NA,10,NA,NA,"D",NA,1.59353006044804,7,5,1,"",NA
"243","DIJKS","Ds",NA,10,NA,NA,"D",NA,1.59353006044804,7,5,1,"",NA
"244","DIKS","Dd",NA,1,NA,NA,"D",NA,0,3,4,1,"",NA
"245","DIKS","E",NA,1,NA,NA,"D",NA,0,3,4,1,"",NA
"246","DIMARCO","Ds",NA,10,NA,NA,"D",NA,1.59353006044804,4,5,1,"",NA
"247","DIMARCO","E",NA,10,NA,NA,"D",NA,1.59353006044804,4,5,1,"",NA
"248","DIONISI","Pc",NA,33,NA,NA,"A",NA,5.2214092515681,10,11,1,"",NA
"249","DJIDJI","Dc",NA,10,NA,NA,"D",NA,1.59353006044804,4,5,1,"",NA
"250","DJIDJI","Ds",NA,10,NA,NA,"D",NA,1.59353006044804,4,5,1,"",NA
"251","DJIMSITI","Dc",0.6333333333,30,5.5666666667,"Benevento","D",5.5,4.3947368421,3,2,1,"",NA
"252","DJORDJEVIC","Pc",NA,33,NA,NA,"A",NA,5.2214092515681,10,11,1,"",NA
"253","DJOUROU","Dc",NA,31,NA,NA,"D",NA,4.40015620343502,7,8,1,"",NA
"254","DJURICIC","T",0.6,16,6,"Benevento","C",6,2.5263157895,4,5,1,"",NA
"255","DONNARUMMA A","Por",NA,1,NA,NA,"P",NA,0,1,1,1,"",NA
"256","DONNARUMMA G","Por",1.5741465149,38,4.9868421053,"Milan","P",5,4.9868421053,11,12,1,"",NA
"257","DONSAH","C",1.4523809524,28,6.2857142857,"Bologna","C",6,4.6315789474,7,8,1,"",NA
"258","DONSAH","M",1.4523809524,28,6.2857142857,"Bologna","C",6,4.6315789474,7,8,1,"",NA
