"","Group.1","x","presenze[, 2]"
"293","LAMANNA",NA,1
"294","LAPADULA",0.321097883597884,28
"295","LASAGNA",0.489532019704433,29
"296","LAURINI",0.227272727272727,22
"297","LAXALT",0.33039314516129,32
"298","LAZAAR",0.1875,9
"299","LAZOVIC",0.136904761904762,21
"300","LAZZARI M",0.38015873015873,36
"301","LEE",0.182692307692308,14
"302","LEMOS",1.64285714285714,8
"303","LERIS",0.25,4
"304","LETIZIA",0.350369458128079,29
"305","LETSCHERT",0.0357142857142857,7
"306","LICHTSTEINER",0.195156695156695,27
"307","LINETTY",0.316502463054187,29
"308","LIROLA",0.23731884057971,24
"309","LISANDRO LOPEZ",NA,1
"310","LJAJIC",0.307692307692308,27
"311","LO FASO",0,2
"312","LOCATELLI M",0.0976190476190476,21
"313","LOMBARDI",0.314338235294118,17
"314","LOPEZ D",0.581609195402299,30
"315","LUCAS LEIVA",0.187896825396825,36
"316","LUCIONI",1.20982142857143,8
"317","LUIS ALBERTO",0.69897504456328,34
"318","LUIZ FELIPE",0.406045751633987,18
"319","LUKAKU J",0.248275862068966,30
"320","LULIC",0.38781512605042,35
"321","LYANCO",0.5,4
"322","LYKOGIANNIS",0.25,11
"323","MAGGIO",0.0993589743589744,13
"324","MAGNANELLI",0.354586693548387,32
"325","MAIETTA",0.238095238095238,7
"326","MAKSIMOVIC",0,2
"327","MANCINI G",0.504545454545455,11
"328","MANDRAGORA",0.358730158730159,36
"329","MANDZUKIC",0.532258064516129,32
"330","MANOLAS",0.312192118226601,29
"331","MARAN",0.626050420168067,35
"332","MARCHEGIANI",NA,1
"333","MARCHISIO",0.0880952380952381,15
"334","MARIO RUI",0.468333333333333,25
"335","MARTELLA",0.402586206896552,30
"336","MARUSIC",0.35383064516129,32
"337","MASIELLO A",0.297849462365591,31
"338","MASINA",0.30770944741533,34
"339","MATOS",0.477941176470588,18
"340","MATRI",0.277667984189723,23
"341","MATTIELLO",0.261083743842365,29
"342","MATUIDI",0.200604838709677,32
"343","MAURI J",NA,1
"344","MAURICIO",NA,1
"345","MAXI LOPEZ",0.379298941798942,28
"346","MAZZARRI",0.460526315789474,19
"347","MAZZITELLI",0.354605263157895,20
"348","MBAYE",0.333333333333333,25
"349","MEDEIROS",0.390909090909091,11
"350","MEGGIORINI",0.195238095238095,15
"351","MEMUSHAJ",0.492647058823529,17
"352","MERET",0.416666666666667,13
"353","MERTENS",0.928342816500711,38
"354","MIANGUE",0.368181818181818,11
"355","MIGLIORE",0.4,6
"356","MIGUEL VELOSO",0.253787878787879,22
"357","MIHAJLOVIC",0.62719298245614,19
"358","MILENKOVIC",0.366666666666667,16
"359","MILIK",0.614285714285714,15
"360","MILINKOVIC-SAVIC",0.521848739495798,35
"361","MILINKOVIC-SAVIC V",NA,1
"362","MIRANDA",0.265591397849462,31
"363","MIRANTE",0.28030303030303,33
"364","MISSIROLI",0.257142857142857,35
"365","MOLINARO",0.407236842105263,20
"366","MONTELLA",0.989010989010989,14
"367","MONTOLIVO",0.327614379084967,18
"368","MORA",0.248161764705882,17
"369","MORETTI",0.355519480519481,22
"370","MURGIA",0.198958333333333,16
"371","MURRU",0.286184210526316,20
"372","MUSACCHIO",0.423809523809524,15
"373","N'KOULOU",0.446696696696697,37
"374","NAGATOMO",0.154545454545455,11
"375","NAGY",0.287878787878788,12
"376","NAINGGOLAN",0.547311827956989,31
"377","NALINI",0.407114624505929,23
"378","NANI",0.308006535947712,18
"379","NIANG",0.424615384615385,26
"380","NICOLA",0.85,15
"381","NICOLAS",0.476785714285714,36
"382","NUYTINCK",0.49002849002849,27
"383","OBI",0.218614718614719,22
"384","ODDO",0.626082251082251,22
"385","OIKONOMOU",0.395833333333333,4
"386","OKWONKWO",0.525,10
"387","OLIVERA M",0.369047619047619,7
"388","OMEONGA",0.0804093567251462,19
"389","ORSOLINI",0.129166666666667,16
"390","OUNAS",0.0833333333333333,7
"391","PADOIN",0.341591591591592,37
"392","PALACIO",0.33994708994709,28
"393","PALLADINO",0.166666666666667,4
"394","PALOMBI",NA,1
"395","PALOMINO",0.298461538461538,26
"396","PALOSCHI",0.391071428571429,36
"397","PANDEV",0.467741935483871,32
"398","PARIGINI",0.19047619047619,21
"399","PAROLO",0.448924731182796,31
"400","PATRIC",0.340909090909091,11
"401","PAVLOVIC",0.172727272727273,11
"402","PAVOLETTI",0.600852272727273,33
"403","PAZZINI",0.450292397660819,19
"404","PECCHIA",0.958748221906117,38
"405","PEGOLO",0.5,2
"406","PELLEGRI",0.7,6
"407","PELLEGRINI",0.332010582010582,28
"408","PELLISSIER",0.334795321637427,19
"409","PELUSO",0.447311827956989,31
"410","PEREIRA P",0.141666666666667,6
"411","PERICA",0.236471861471861,22
"412","PERIN",0.188813813813814,37
"413","PERISIC",0.816441441441441,37
"414","PEROTTI",0.39,25
"415","PETAGNA",0.363300492610837,29
"416","PETKOVIC",0.348333333333333,25
"417","PEZZELLA GER",0.499108734402852,34
"418","PEZZELLA GIU",0.373809523809524,15
"419","PIERINI N",0.0833333333333333,3
"420","PINAMONTI",NA,1
"421","PINSOGLIO",NA,1
"422","PIOLI",0.717638691322902,38
"423","PISACANE",0.499547101449275,24
"424","PJANIC",0.39247311827957,31
"425","POLI",0.297379032258065,32
"426","POLITANO",0.665873015873016,36
"427","PONTISSO",NA,1
"428","PRAET",0.324344758064516,32
"429","PUCCIARELLI",0.331709956709957,22
"430","PUGGIONI",0.393280632411067,23
"431","PULGAR",0.435483870967742,32
"432","PUSCAS",0.422727272727273,11
"433","QUAGLIARELLA",0.784873949579832,35
"434","RADOVANOVIC",0.322689075630252,35
"435","RADU",0.275806451612903,31
"436","RAFAEL",0.211111111111111,10
"437","RAFINHA",0.391544117647059,17
"438","RAGUSA",0.303448275862069,30
"439","RAMIREZ",0.553303303303303,37
"440","RANOCCHIA",0.290909090909091,11
"441","RASTELLI",0.785714285714286,8
"442","REGINI",0.285714285714286,14
"443","REINA",0.215465465465465,37
"444","RICCI",0.338815789473684,20
"445","RIGONI L",0.294466403162055,23
"446","RIGONI N",0.214285714285714,15
"447","RINCON",0.240277777777778,36
"448","RIZZO",0.340909090909091,11
"449","RODRIGUEZ R",0.337121212121212,34
"450","ROG",0.0357142857142857,28
"451","ROGERIO",0.317307692307692,13
"452","ROHDEN",0.311153846153846,26
"453","ROMAGNA",0.422924901185771,23
"454","ROMAGNOLI A",0.443121693121693,28
"455","ROMAGNOLI S",0.142857142857143,8
"456","ROMERO A",0.0416666666666667,6
"457","ROMULO",0.409534534534535,37
"458","ROSI",0.148097826086957,24
"459","ROSSETTINI",0.527667984189723,23
"460","ROSSI",0.0902777777777778,9
"461","ROSSI F",NA,1
"462","RUGANI",0.170995670995671,22
"463","RUTJENS",NA,1
"464","SADIQ",0.0833333333333333,3
"465","SAGNA",0.269230769230769,13
"466","SALA",0.506410256410256,13
"467","SALAMON",0.398268398268398,22
"468","SALCEDO MORA",0,2
"469","SAMIR",0.462365591397849,31
"470","SAMPIRISI",0.294623655913978,31
"471","SANCHEZ C",0.298611111111111,9
"472","SANDRO",0.391483516483516,14
"473","SANOGO",0,2
"474","SANTON",0.578571428571429,15
"475","SANTURRO",NA,1
"476","SAPONARA",0.219771241830065,18
"477","SARRI",0.539829302987198,38
"478","SAU",0.277093596059113,29
"479","SCAMACCA",0,3
"480","SCHIATTARELLA",0.212365591397849,31
"481","SCHIAVON",0.0511363636363636,12
"482","SCHICK",0.351190476190476,22
"483","SCUFFET",0.366666666666667,6
"484","SEMPLICI",0.515825035561878,38
"485","SENSI",0.5625,17
"486","SEPE",NA,1
"487","SILVA J",0,2
"488","SILVESTRE",0.657085561497326,34
"489","SILVESTRI",0.5,2
"490","SIMEONE",0.756756756756757,38
"491","SIMIC L",0.266666666666667,6
"492","SIMIC S",0.194444444444444,9
"493","SIMY",0.575098814229249,23
"494","SIRIGU",0.259009009009009,37
"495","SKORUPSKI",NA,1
"496","SKRINIAR",0.30672119487909,38
"497","SORRENTINO",0.467994310099573,38
"498","SOUPRAYEN",0.350649350649351,22
"499","SPALLETTI",0.868598862019915,38
"500","SPARANDEO",NA,1
"501","SPINAZZOLA",0.235294117647059,18
"502","SPOLLI",0.383333333333333,21
"503","SPORTIELLO",0.451576576576577,37
"504","STEPINSKI",0.387987012987013,22
"505","STIJEPOVIC",NA,1
