"Name","VarianceFantasyEvaluation","PlayedMatches","MeanFantasyEvaluation","Team"
"BORRIELLO","1.56666666666667","15","5.76666666666667","SPAL"
"BOYE'","0.15","11","6","Torino"
"BRIGNOLA","2.38970588235294","18","6.75","Benevento"
"BRIGNOLI","5.35897435897436","13","3.73076923076923","Benevento"
"BRLEK","175","5","5.6","Genoa"
"BROZOVIC","3.14784946236559","31","6.74193548387097","Inter"
"BRUNO PERES","0.124183006535948","18","5.77777777777778","Roma"
"BUCCHI","0.237637362637363","14","5.39285714285714",
"BUCHEL","0.271739130434783","23","5.60869565217391","Verona"
"BUDIMIR","6.53517316017316","22","6.52272727272727","Crotone"
"BUFFON","2.00714285714286","21","5.57142857142857","Juventus"
"BURDISSO","0.379981884057971","24","5.85416666666667","Torino"
"CABRERA","825","5","5.2","Crotone"
"CACCIATORE","1.07717803030303","33","6.03030303030303","Chievo"
"CACERES","2.89473684210526","20","6.5","Lazio"
"CAICEDO","2.56493506493507","22","6.27272727272727","Lazio"
"CALABRIA","1.76547619047619","21","6.26190476190476","Milan"
"CALDARA","2.91259057971015","24","6.39583333333333","Atalanta"
"CALHANOGLU","3.71989247311828","31","6.85483870967742","Milan"
"CALIGARA","0","1","6","Cagliari"
"CALLEJON","4.38424608819346","38","7.11842105263158","Napoli"
"CALVANO","0.166666666666667","15","5.83333333333333","Verona"
"CANCELO","0.915384615384615","26","6.34615384615385","Inter"
"CANDREVA","0.835515873015873","36","6.26388888888889","Inter"
"CANNAVARO","0.35672514619883","19","5.63157894736842","Sassuolo"
"CAPEZZI","0.0666666666666667","6","6.16666666666667","Sampdoria"
"CAPRADOSSI","0","2","6","Roma"
"CAPRARI","2.48306595365419","34","6.32352941176471","Sampdoria"
"CAPUANO","0.44","25","5.74","Crotone"
"CARACCIOLO A","1.64251893939394","33","5.75757575757576","Verona"
"CASSATA","2.28055555555556","10","6.15","Sassuolo"
"CASTAGNE","0.486184210526316","20","6025","Atalanta"
"CASTAN","0.862637362637363","14","5.64285714285714","Cagliari"
"CASTRO","3.53083333333333","25","6.52","Chievo"
"CATALDI","0.939655172413793","29","5.75862068965517","Benevento"
"CECCHERINI","1.06719219219219","37","5.90540540540541","Crotone"
"CENTURION","0.0833333333333333","3","5.66666666666667","Genoa"
"CEPPITELLI","1.92948717948718","27","6.27777777777778","Cagliari"
"CERAVOLO","0","1","5.5","Benevento"
"CERCI","2.16983695652174","24","6.1875","Verona"
"CESAR","0.302777777777778","10","5.55","Chievo"
"CETER","0.141666666666667","6","5.58333333333333","Cagliari"
"CHIBSAH","0.490384615384615","14","5.25","Benevento"
"CHIELLINI","0.244615384615385","26","6.23076923076923","Juventus"
"CHIESA","2.61964285714286","36","6875","Fiorentina"
"CHIRICHES","0.154761904761905","7","5.78571428571429","Napoli"
"CICIRETTI","2.3844696969697","12","6.54166666666667","Benevento"
"CIGARINI","2.19846153846154","26","5.96153846153846","Cagliari"
"CIONEK","0.945238095238095","15","6.36666666666667","SPAL"
"CISSE' K","0","2","6","Benevento"
"CODA M","4.90579710144928","24","6.33333333333333","Benevento"
"COFIE","0.242424242424242","12","5.83333333333333","Genoa"
"CONSIGLI","4.63363363363363","37","4.75675675675676","Sassuolo"
"CONTI","125","2","6.25","Milan"
"COP","0.5","2","5.5","Cagliari"
"CORDAZ","3.1822546230441","38","4.48684210526316","Crotone"
"CORNELIUS","2.63241106719368","23","6.28260869565217","Atalanta"
"COSSU","0.104545454545455","11","5.86363636363636","Cagliari"
"COSTA","0.507291666666667","16","5.40625","Benevento"
"COSTA F","0.393280632411067","23","5.93478260869565","SPAL"
"CRAGNO","3.6878078817734","29","4.79310344827586","Cagliari"
"CREMONESI","0.2","5","5.3","SPAL"
"CRISETIG","0.0714285714285714","8","5.75","Bologna"
"CRISTANTE","4.31170634920635","36","6.84722222222222","Atalanta"
"CRISTOFORO","0.404761904761905","7","5.78571428571429","Fiorentina"
"CROCIATA","1.26818181818182","11","6.22727272727273","Crotone"
"CROSTA","0","1","1.5","Cagliari"
"CUADRADO","2.31190476190476","21","7.19047619047619","Juventus"
"CUTRONE","6.82374338624339","28","7.26785714285714","Milan"
"D'ALESSANDRO","1.2625","16","6.4375","Benevento"
"D'AMBROSIO","1.46991978609626","34","6.19117647058824","Inter"
"D'ANNA","0","3","7",
"DA COSTA","1.5625","4","5125","Bologna"
"DABO","2.17777777777778","10","6.2","Fiorentina"
"DAINELLI","0.572619047619048","21","6.04761904761905","Chievo"
"DALBERT","0.192307692307692","13","5.73076923076923","Inter"
"DANILO","0.713457661290323","32","5.859375","Udinese"
"DANZI","175","5","5.4","Verona"
"DE MAIO","1.37846153846154","26","6.03846153846154","Bologna"
"DE PAUL","2.56644144144144","37","6.44594594594595","Udinese"
"DE ROON","1.40485739750446","34","6.16176470588235","Atalanta"
"DE ROSSI","1.20562770562771","22","6.09090909090909","Roma"
"DE SCIGLIO","1.1969696969697","12","6.66666666666667","Juventus"
"DE SILVESTRI","2.27857142857143","35","6.52857142857143","Torino"
"DE VRIJ","1.97777777777778","36","6.77777777777778","Lazio"
"DE ZERBI","0.542487684729064","29","5.89655172413793",
"DEFREL","1.15952380952381","15","5.86666666666667","Roma"
"DEIOLA","0.144230769230769","13","5.96153846153846","Cagliari"
"DEL PINTO","0.316666666666667","15","5.76666666666667","Benevento"
"DELL'ORCO","0.316964285714286","8","6.0625","Sassuolo"
"DELNERI","0.793560606060606","12","5.79166666666667",
"DEPAOLI","0.203216374269006","19","5.78947368421053","Chievo"
"DESSENA","0.0955882352941176","17","5.79411764705882","Cagliari"
"DESTRO","5.03384615384615","26","6.57692307692308","Bologna"
"DI CHIARA","0.307692307692308","13","5.34615384615385","Benevento"
"DI FRANCESCO","0.576102418207681","38","6.28947368421053",
"DI FRANCESCO F","1.08514492753623","24","6.29166666666667","Bologna"
"DI GENNARO D","0","2","6","Lazio"
"DIABATE'","14.4045454545455","11","8.36363636363636","Benevento"
"DIABY","0","2","6","Crotone"
"DIAWARA","1.03349673202614","18","6.30555555555556","Napoli"
"DJIMSITI","0.633333333333333","30","5.56666666666667","Benevento"
"DJURICIC","0.6","16","6","Benevento"
"DONADONI","0.42549786628734","38","5.98684210526316",
"DONNARUMMA G","1.57414651493599","38","4.98684210526316","Milan"
"DONSAH","1.45238095238095","28","6.28571428571429","Bologna"
"DOUGLAS COSTA","2.24731182795699","31","7.2258064516129","Juventus"
"DRAGOWSKI","5.33333333333333","3","2.83333333333333","Fiorentina"
"DRAME'","0.2","5","5.8","SPAL"
"DUNCAN","0.581538461538462","26","5.80769230769231","Sassuolo"
"DUSSENNE","0","1","5","Crotone"
"DYBALA","17.4105113636364","33","8.36363636363636","Juventus"
"DZEKO","8.82599206349206","36","7.65277777777778","Roma"
"DZEMAILI","1.43571428571429","15","6.1","Bologna"
"EDER","1.33066502463054","29","6.29310344827586","Inter"
"EDERA","1.16071428571429","14","6.39285714285714","Torino"
"EL SHAARAWY","4.32859848484848","33","6.71212121212121","Roma"
"EL YAMIQ","0.5625","4","5625","Genoa"
"EMERSON","0","1","6","Roma"
"EVERTON LUIZ","0.254545454545455","11","5.86363636363636","SPAL"
"EYSSERIC","1.04761904761905","21","6.11904761904762","Fiorentina"
"FALCINELLI","1.31829637096774","32","5.890625","Fiorentina"
"FALLETTI","1.56089743589744","13","6.03846153846154","Bologna"
"FARAGO","0.321097883597884","28","5.94642857142857",
"FARAGO'","3.72619047619048","7","7.64285714285714","Cagliari"
"FARAONI","1.21957671957672","28","6.14285714285714","Crotone"
"FARES","0.386206896551724","30","5.4","Verona"
"FARIAS","1.90839947089947","28","5.91071428571429","Cagliari"
"FAZIO","1.22303921568627","34","6.33823529411765","Roma"
"FELICIOLI","0.0666666666666667","6","5.83333333333333","Verona"
"FELIPE","1.28764367816092","30","5.88333333333333","SPAL"
"FELIPE ANDERSON","3.13928571428571","21","7.21428571428571","Lazio"
"FERRARI A","1.26416666666667","25","5.58","Verona"
"FERRARI G","1.77040229885057","30","5.88333333333333","Sampdoria"
"FLOCCARI","3.59473684210526","20","6.4","SPAL"
"FLORENZI","1.53931451612903","32","6.15625","Roma"
"FOFANA","2.47079772079772","27","5.98148148148148","Udinese"
"FOSSATI","0.1875","17","5.5","Verona"
"FREULER","2.49663865546218","35","6.65714285714286","Atalanta"
"GAGLIARDINI","0.254022988505747","30","5.76666666666667","Inter"
"GALABINOV","2.68157894736842","20","6.45","Genoa"
"GAMBERINI","0.383399209486166","23","5.76086956521739","Chievo"
"GARRITANO","0.122727272727273","11","5.95454545454545","Chievo"
"GASPAR B","0.721428571428571","15","5.9","Fiorentina"
"GASPERINI","0.498044096728307","38","6.40789473684211",
"GATTUSO","0.95606884057971","24","6.22916666666667",
"GAUDINO","0","2","6","Chievo"
"GAZZOLA","0.194444444444444","9","5.77777777777778","Sassuolo"
"GENTILETTI","0.916666666666667","4","5.25","Genoa"
"GERSON","2.6286231884058","24","6.20833333333333","Roma"
"GHOULAM","4.10454545454545","11","7.36363636363636","Napoli"
"GIACCHERINI","2.83639705882353","17","6.64705882352941","Chievo"
"GIAMPAOLO","0.939544807965861","38","6.07894736842105",
"GIANNETTI","0.209821428571429","8","5.6875","Cagliari"
"GIL DIAS","1.19871794871795","27","6.11111111111111","Fiorentina"
"GOBBI","0.541666666666667","24","5.70833333333333","Chievo"
"GOLDANIGA","1.64102564102564","13","6.15384615384615","Sassuolo"
"GOLLINI","1","7","5.5","Atalanta"
"GOMEZ A","3.92945075757576","33","6.98484848484848","Atalanta"
"GOMIS A","2.85384615384615","26","4.57692307692308","SPAL"
"GONALONS","0.3625","16","5.9375","Roma"
"GONZALEZ G","0.617424242424242","22","5.61363636363636","Bologna"
"GOSENS","0.864285714285714","21","6.21428571428571","Atalanta"
"GRASSI","1.60582010582011","28","6.42857142857143","SPAL"
"GRAVILLON","125","2","5.75","Benevento"
"GUILHERME","2.06628787878788","12","6.79166666666667","Benevento"
"GUSTAFSON","0.0833333333333333","4","5.75","Torino"
"GYAMFI","125","9","5.66666666666667","Benevento"
"HAAS","0.131944444444444","9","5.77777777777778","Atalanta"
"HALLFREDSSON","0.366959064327485","19","5.81578947368421","Udinese"
"HAMSIK","2.93456614509246","38","6.60526315789474","Napoli"
"HAN","0.238095238095238","7","5.78571428571429","Cagliari"
"HANDANOVIC","1.35135135135135","38","5.5","Inter"
"HATEBOER","125","33","6","Atalanta"
"HECTOR MORENO","125","5","6","Roma"
"HELANDER","0.355295566502463","29","5.86206896551724","Bologna"
"HETEMAJ","1.97983870967742","32","6.3125","Chievo"
"HEURTAUX","0.702205882352941","17","5.47058823529412","Verona"
"HIGUAIN","8.39621848739496","35","7.52857142857143","Juventus"
"HILJEMARK","0.828571428571429","15","6.1","Genoa"
"HOWEDES","4.75","3","7","Juventus"
"HYSAJ","0.278571428571429","35","5.97142857142857","Napoli"
"IACHINI","0.96195652173913","24","6125",
"IAGO FALQUE","5.07432432432432","37","7.31081081081081","Torino"
"ICARDI","18.5231729055258","34","8.85294117647059","Inter"
"IEMMELLO","2.140625","16","6.09375","Benevento"
"ILICIC","8.39623655913979","31","7.79032258064516","Atalanta"
"IMMOBILE","20.2357954545455","33","9.27272727272727","Lazio"
"INGELSSON","2.23809523809524","7","6.21428571428571","Udinese"
"INGLESE","6.17379679144385","34","6.91176470588235","Chievo"
"INSIGNE","3.98085585585586","37","7.25675675675676","Napoli"
"INZAGHI S","0.686344238975818","38","6.55263157894737",
"IONITA","0.233928571428571","36","5.79166666666667","Cagliari"
"IZCO","175","5","5.6","Crotone"
"IZZO","1.05","16","6125","Genoa"
"JANKTO","2.8593253968254","36","6.43055555555556","Udinese"
"JAROSZYNSKI","0.313636363636364","11","5.68181818181818","Chievo"
"JOAO MARIO","0.379120879120879","14","6.07142857142857","Inter"
"JOAO PEDRO","3.23593073593074","22","6.45454545454545","Cagliari"
"JORGINHO","0.941761363636364","33","6.13636363636364","Napoli"
"JUAN JESUS","0.446428571428571","22","5.75","Roma"
"JURIC","0.446969696969697","12","5.58333333333333",
"KALINIC","4.47849462365591","31","6.38709677419355","Milan"
"KANOUTE","125","2","5.75","Benevento"
"KARAMOH","1.490625","16","6.15625","Inter"
"KARSDORP","0","1","5.5","Roma"
"KEAN","5.17251461988304","19","6.31578947368421","Verona"
"KEITA C","0.25","3","5.5","Bologna"
"KESSIE'","3.61749249249249","37","6.2972972972973","Milan"
"KHEDIRA","9.58346153846154","26","7.28846153846154","Juventus"
"KOLAROV","1.63739495798319","35","6.62857142857143","Roma"
"KOULIBALY","2.57857142857143","35","6.72857142857143","Napoli"
"KOWNACKI","2.89393939393939","22","6.68181818181818","Sampdoria"
"KRAFTH","0.15719696969697","12","5.45833333333333","Bologna"
"KRAGL","75","5","5.8","Crotone"
"KREJCI","0.15719696969697","12","5.70833333333333","Bologna"
"KURTIC","1.79195402298851","30","6.03333333333333","SPAL"
"LAMANNA","0","1","5.5","Genoa"
"LAPADULA","2.7337962962963","28","6375","Genoa"
"LASAGNA","5.3737684729064","29","7.46551724137931","Udinese"
"LAURINI","0.337662337662338","22","5.86363636363636","Fiorentina"
"LAXALT","1.83240927419355","32","6.328125","Genoa"
"LAZAAR","1.4375","9","6","Benevento"
"LAZOVIC","0.236904761904762","21","6.02380952380952","Genoa"
"LAZZARI M","1.22857142857143","36","6.33333333333333","SPAL"
"LEE","1.1717032967033","14","5.96428571428571","Verona"
"LEMOS","3.83928571428571","8","6125","Sassuolo"
"LERIS","0.25","4","5.75","Chievo"
"LETIZIA","0.930418719211823","29","5.8448275862069","Benevento"
"LETSCHERT","0.0357142857142857","7","5.92857142857143","Sassuolo"
"LICHTSTEINER","0.67948717948718","27","5.77777777777778","Juventus"
"LINETTY","1.82758620689655","29","6.44827586206897","Sampdoria"
"LIROLA","0.340579710144928","24","5.83333333333333","Sassuolo"
"LISANDRO LOPEZ","0","1","5.5","Inter"
"LJAJIC","2.78490028490029","27","7.14814814814815","Torino"
"LO FASO","0","2","6","Fiorentina"
"LOCATELLI M","0.0976190476190476","21","5.95238095238095","Milan"
"LOMBARDI","0.560661764705882","17","5.82352941176471","Benevento"
"LOPEZ D","0.581609195402299","30","5.93333333333333",
"LUCAS LEIVA","0.935515873015873","36","6.51388888888889","Lazio"
"LUCIONI","1.20982142857143","8","5.8125","Benevento"
"LUIS ALBERTO","7.00735294117647","34","7.51470588235294","Lazio"
"LUIZ FELIPE","0.406045751633987","18","5.86111111111111","Lazio"
"LUKAKU J","0.97816091954023","30","6.26666666666667","Lazio"
"LULIC","2.28781512605042","35","6.35714285714286","Lazio"
"LYANCO","0.5","4","6","Torino"
"LYKOGIANNIS","0.440909090909091","11","6.09090909090909","Cagliari"
"MAGGIO","0.0993589743589744","13","6.15384615384615","Napoli"
"MAGNANELLI","0.354586693548387","32","5.765625","Sassuolo"
"MAIETTA","0.238095238095238","7","6.28571428571429","Bologna"
"MAKSIMOVIC","0","2","6","Napoli"
"MANCINI G","2.00454545454545","11","6.13636363636364","Atalanta"
"MANDRAGORA","1.22539682539683","36","6.05555555555556","Crotone"
"MANDZUKIC","2.89415322580645","32","6.40625","Juventus"
"MANOLAS","1.33189655172414","29","6.22413793103448","Roma"
"MARAN","0.626050420168067","35","5.85714285714286",
"MARCHEGIANI","0","1","6","SPAL"
"MARCHISIO","0.221428571428571","15","6.1","Juventus"
"MARIO RUI","1.55666666666667","25","6.34","Napoli"
"MARTELLA","0.995689655172414","30","6.25","Crotone"
"MARUSIC","1.83467741935484","32","6.4375","Lazio"
"MASIELLO A","1.93655913978495","31","6.64516129032258","Atalanta"
"MASINA","0.359402852049911","34","5.66176470588235","Bologna"
"MATOS","0.477941176470588","18","5.58333333333333","Verona"
"MATRI","2.06818181818182","23","6","Sassuolo"
"MATTIELLO","0.261083743842365","29","5.75862068965517","SPAL"
"MATUIDI","1.45866935483871","32","6.40625","Juventus"
"MAURI J","0","1","6","Milan"
"MAURICIO","0","1","6","Lazio"
"MAXI LOPEZ","2.56448412698413","28","6.01785714285714","Udinese"
"MAZZARRI","0.460526315789474","19","6.10526315789474",
"MAZZITELLI","0.480921052631579","20","5825","Sassuolo"
"MBAYE","1.11833333333333","25","5.92","Bologna"
"MEDEIROS","3.11818181818182","11","6.72727272727273","Genoa"
"MEGGIORINI","0.195238095238095","15","5.53333333333333","Chievo"
"MEMUSHAJ","0.492647058823529","17","5.64705882352941","Benevento"
"MERET","4.44230769230769","13","5.73076923076923","SPAL"
"MERTENS","10.0094238975818","38","7.72368421052632","Napoli"
"MIANGUE","0.604545454545454","11","5.86363636363636","Cagliari"
"MIGLIORE","0.4","6","5.5","Genoa"
"MIGUEL VELOSO","0.864177489177489","22","5.93181818181818","Genoa"
"MIHAJLOVIC","0.62719298245614","19","5.89473684210526",
"MILENKOVIC","0.366666666666667","16","5.75","Fiorentina"
"MILIK","4.68571428571429","15","7.1","Napoli"
"MILINKOVIC-SAVIC","6.51176470588235","35","7.6","Lazio"
"MILINKOVIC-SAVIC V","0","1","5","Torino"
"MIRANDA","0.265591397849462","31","6.03225806451613","Inter"
"MIRANTE","1.84280303030303","33","4.8030303030303","Bologna"
"MISSIROLI","0.717647058823529","35","6.1","Sassuolo"
"MOLINARO","0.486184210526316","20","5775","Torino"
"MONTELLA","0.989010989010989","14","5.71428571428571",
"MONTOLIVO","1.19035947712418","18","6.02777777777778","Milan"
"MORA","0.248161764705882","17","5.82352941176471","SPAL"
"MORETTI","0.355519480519481","22","5.88636363636364","Torino"
"MURGIA","0.198958333333333","16","5.78125","Lazio"
"MURRU","0.459868421052632","20","5725","Sampdoria"
"MUSACCHIO","0.423809523809524","15","5.56666666666667","Milan"
"N'KOULOU","1.23048048048048","37","6.22972972972973","Torino"
"NAGATOMO","0.154545454545455","11","5.86363636363636","Inter"
"NAGY","1.40151515151515","12","6.08333333333333","Bologna"
"NAINGGOLAN","2.82365591397849","31","6.90322580645161","Roma"
"NALINI","0.741106719367589","23","6.17391304347826","Crotone"
"NANI","3.62173202614379","18","6.69444444444444","Lazio"
"NIANG","2.60461538461538","26","6.26923076923077","Torino"
"NICOLA","0.85","15","5.7",
"NICOLAS","4.1640873015873","36","4.23611111111111","Verona"
"NUYTINCK","0.972934472934473","27","6.12962962962963","Udinese"
"OBI","2.69480519480519","22","6.86363636363636","Torino"
"ODDO","0.626082251082251","22","5.93181818181818",
"OIKONOMOU","0.395833333333333","4","5375","SPAL"
"OKWONKWO","4525","10","6.95","Bologna"
"OLIVERA M","0.369047619047619","7","5.57142857142857","Fiorentina"
"OMEONGA","0.0804093567251462","19","5.94736842105263","Genoa"
"ORSOLINI","0.129166666666667","16","5.9375","Bologna"
"OUNAS","0.0833333333333333","7","6","Napoli"
"PADOIN","0.713213213213213","37","5.81081081081081","Cagliari"
"PALACIO","2.33994708994709","28","6.60714285714286","Bologna"
"PALLADINO","0.166666666666667","4","6","Genoa"
"PALOMBI","0","1","5","Lazio"
"PALOMINO","0.875384615384615","26","6.15384615384615","Atalanta"
"PALOSCHI","3.08789682539683","36","6.31944444444444","SPAL"
"PANDEV","2.62903225806452","32","6.5","Genoa"
"PARIGINI","0.19047619047619","21","5.73809523809524","Benevento"
"PAROLO","3.13494623655914","31","6.58064516129032","Lazio"
"PATRIC","0.35","11","6","Lazio"
"PAVLOVIC","0.172727272727273","11","5.45454545454545","Crotone"
"PAVOLETTI","4.44460227272727","33","6.90909090909091","Cagliari"
"PAZZINI","3.28362573099415","19","6.31578947368421","Verona"
"PECCHIA","0.958748221906117","38","5.47368421052632",
"PEGOLO","2","2","5","Sassuolo"
"PELLEGRI","10.3","6","7","Genoa"
"PELLEGRINI","1.89285714285714","28","6.32142857142857",
"PELLISSIER","1.35818713450292","19","6.05263157894737","Chievo"
"PELUSO","1.06989247311828","31","5.85483870967742","Sassuolo"
"PEREIRA P","0.141666666666667","6","5.91666666666667","Genoa"
"PERICA","0.898809523809524","22","5.75","Udinese"
"PERIN","1.38400900900901","37","5.13513513513514","Genoa"
"PERISIC","7.18130630630631","37","7.16216216216216","Inter"
"PEROTTI","4.35166666666667","25","6.68","Roma"
"PETAGNA","2.64162561576355","29","6.46551724137931","Atalanta"
"PETKOVIC","0.481666666666667","25","5.74","Verona"
"PEZZELLA GER","0.849376114081996","34","6.11764705882353","Fiorentina"
"PEZZELLA GIU","0.373809523809524","15","5.53333333333333","Udinese"
"PIERINI N","0.0833333333333333","3","5.66666666666667","Sassuolo"
"PINAMONTI","0","1","6","Inter"
"PINSOGLIO","0","1","5","Juventus"
"PIOLI","0.717638691322902","38","6.15789473684211",
"PISACANE","0.499547101449275","24","5.72916666666667","Cagliari"
"PJANIC","3.2989247311828","31","7.03225806451613","Juventus"
"POLI","1.26512096774194","32","6.09375","Bologna"
"POLITANO","6.25","36","6.91666666666667","Sassuolo"
"PONTISSO","0","1","6","Udinese"
"PRAET","0.919102822580645","32","6.234375","Sampdoria"
"PUCCIARELLI","1.61742424242424","22","5.88636363636364","Chievo"
"PUGGIONI","2.90118577075099","23","4.41304347826087","Benevento"
"PULGAR","2.53931451612903","32","6.09375","Bologna"
"PUSCAS","1.86818181818182","11","5.72727272727273","Benevento"
"QUAGLIARELLA","9.60504201680672","35","7.92857142857143","Sampdoria"
"RADOVANOVIC","0.820168067226891","35","5.94285714285714","Chievo"
"RADU","0.395161290322581","31","5.88709677419355","Lazio"
"RAFAEL","1.55555555555556","10","5","Cagliari"
"RAFINHA","2.14889705882353","17","6.85294117647059","Inter"
"RAGUSA","0.419540229885057","30","5.83333333333333","Sassuolo"
"RAMIREZ","2.52852852852853","37","6.33783783783784","Sampdoria"
"RANOCCHIA","2.55454545454545","11","6.63636363636364","Inter"
"RASTELLI","0.785714285714286","8","5.5",
"REGINI","0.285714285714286","14","5.85714285714286","Sampdoria"
"REINA","1.57582582582583","37","5.2972972972973","Napoli"
"RICCI","1.82302631578947","20","6075","Crotone"
"RIGONI L","2.11067193675889","23","6.23913043478261","Genoa"
"RIGONI N","0.214285714285714","15","5.5","Chievo"
"RINCON","0.678373015873016","36","5.98611111111111","Torino"
"RIZZO","2.90454545454545","11","6.63636363636364","Atalanta"
"RODRIGUEZ R","1.15530303030303","34","5.75","Milan"
"ROG","0.476190476190476","28","6.07142857142857","Napoli"
"ROGERIO","0.317307692307692","13","5.73076923076923","Sassuolo"
"ROHDEN","1.39115384615385","26","5.86538461538461","Crotone"
"ROMAGNA","0.422924901185771","23","5.82608695652174","Cagliari"
"ROMAGNOLI A","1.26851851851852","28","6.25","Milan"
"ROMAGNOLI S","0.142857142857143","8","6","Bologna"
"ROMERO A","0.0416666666666667","6","5.91666666666667","Crotone"
"ROMULO","1.7728978978979","37","6.36486486486486","Verona"
"ROSI","0.148097826086957","24","5.6875","Genoa"
"ROSSETTINI","0.527667984189723","23","5.8695652173913","Genoa"
"ROSSI","1.50694444444444","9","6.27777777777778","Genoa"
"ROSSI F","0","1","4.5","Atalanta"
"RUGANI","1.4978354978355","22","6.45454545454545","Juventus"
"RUTJENS","0","1","6","Benevento"
"SADIQ","0.0833333333333333","3","4.66666666666667","Torino"
"SAGNA","1.48076923076923","13","6.19230769230769","Benevento"
"SALA","0.506410256410256","13","5.61538461538461","Sampdoria"
"SALAMON","0.398268398268398","22","5.72727272727273","SPAL"
"SALCEDO MORA","0","2","6","Genoa"
