"","Nome","Squadra"
"366","FARIAS","Cagliari"
"367","GIANNETTI","Cagliari"
"368","MELCHIORRI","Cagliari"
"369","SAU","Cagliari"
"370","CORDAZ","Crotone"
"371","FESTA","Crotone"
"372","CECCHERINI","Crotone"
"373","CREMONESI","SPAL"
"374","FERRARI G","Sampdoria"
"375","MARTELLA","Crotone"
"376","SAMPIRISI","Crotone"
"377","BARBERIS","Crotone"
"378","NALINI","Crotone"
"379","PALLADINO","Genoa"
"380","DRAGOWSKI","Fiorentina"
"381","ZIMA","Genoa"
"382","PINSOGLIO","Juventus"
"383","BENATIA","Juventus"
"384","MANDRAGORA","Crotone"
"385","STRAKOSHA","Lazio"
"386","VARGIC","Lazio"
"387","LAPADULA","Genoa"
"388","ZAMPANO","Udinese"
"389","MEMUSHAJ","Benevento"
"390","CAPRARI","Sampdoria"
"391","ALISSON","Roma"
"392","GERSON","Roma"
"393","TOZZO","Sampdoria"
"394","ERAMO","Benevento"
"395","TORREIRA","Sampdoria"
"396","BUDIMIR","Crotone"
"397","SCHICK","Roma"
"398","MAZZITELLI","Sassuolo"
"399","SENSI","Sassuolo"
"400","BARRECA","Torino"
"401","BOYE'","Torino"
"402","PARIGINI","Benevento"
"403","ANGELLA","Udinese"
"404","FOFANA","Udinese"
"405","JANKTO","Udinese"
"406","EWANDRO","Udinese"
"407","BALZANO","Cagliari"
"408","FOSSATI","Verona"
"409","DJURICIC","Benevento"
"410","DE PAUL","Udinese"
"411","SIMY","Crotone"
"412","PJACA","Juventus"
"413","LUKAKU J","Lazio"
"414","CHIESA","Fiorentina"
"415","MURGIA","Lazio"
"416","LIROLA","Sassuolo"
"417","WALLACE","Lazio"
"418","LINETTY","Sampdoria"
"419","LUKIC","Torino"
"420","MIGUEL VELOSO","Genoa"
"421","MILIK","Napoli"
"422","RICCI","Crotone"
"423","ROHDEN","Crotone"
"424","LETSCHERT","Sassuolo"
"425","FAZIO","Roma"
"426","HAGI","Fiorentina"
"427","MIANGUE","Cagliari"
"428","PINAMONTI","Inter"
"429","LOMBARDI","Benevento"
"430","LO FASO","Fiorentina"
